Pos-Nr. (Pos- Nr.),"Menge Einheit mit Lippendichtung, geschraubt/genietet, mit Dichtungsband,",Einheitspreis in EUR Gesamtpreis EUR min./max. Temperatur der
1.13.61,"geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis Befestigungsuntergrund Stahlbeton. 9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN100 glatt H","Montagehöhe über 12236, schallgedämmt, einschl. Bohrungen, 3,5-5m"
1.13.62,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN100 glatt H 5-7m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",
1.13.63,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN125 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 125,",
1.13.64,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN125 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
1.13.65,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN125 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",
1.13.66,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN160 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160,",
1.13.67,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN160 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60",
1.13.68 1.13.69,"Bogen Luftleitg rund 45Grad Stahl verz DN160 glatt H 5-7m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7 m, 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN200 glatt H bis 3,5m STLB-Bau 2023-10 075 3624",
,"DN 200, 9,000 St","3,5-5m"
1.13.70,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.60 Bogen Luftleitg rund 45Grad Stahl verz DN200 glatt H STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 18,000 St",
