Pos-Nr.,(Pos- Menge Einheit,Einheitspreis in Gesamtpreis
Nr.),"Bogen als Passstück, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Biegeradius größer 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 100, glatt, mit Einsteckenden, Lippendichtung, geschraubt/genietet, mit Dichtungsband, min./max. Temperatur der Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, mit DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.",EUR EUR gleich mit geförderten Aufhänge-/Auflagekonstruktion bauaufsichtlichem Nachweis
1.13.92,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90 Bogen Passstück kleiner 90Grad Stahl verz DN100 glatt H 5-7m DN 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",
,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90 Bogen Passstück kleiner 90Grad Stahl verz DN125 glatt H bis","3,5m"
1.13.93,"DN 125. 2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90",
1.13.94,"Bogen Passstück kleiner 90Grad Stahl verz DN125 glatt H 3,5-5m DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m. 3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90",
1.13.96,"DN 160, 2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90 Bogen Passstück kleiner 90Grad Stahl verz DN160 glatt H 3,5-5m",
,"DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m. 3,000 St",
1.13.97,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90 Bogen Passstück kleiner 90Grad Stahl verz DN200 glatt H bis DN 200,","3,5m"
1.13.98,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90 Bogen Passstück kleiner 90Grad Stahl verz DN200 glatt H 3,5-5m DN 200, 9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90",
1.13.99,"Bogen Passstück kleiner 90Grad Stahl verz DN200 glatt H 5-7m DN 200, 2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90",
1.13.101,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90 Bogen Passstück kleiner 90Grad Stahl verz DN250 glatt H 3,5-5m DN 250,",
,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.90 5-7m",
1.13.102,Bogen Passstück kleiner 90Grad Stahl verz DN250 glatt H,
