Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis
1.13.103,"DN 250, 1,000 St *** Bezugsbeschreibung Übergangsstück Luftleitg rund konisch Stahl verz DN100 H bis","3,5m"
1.13.104,"Übergangsstück Luftleitg rund konisch Stahl verz DN100 H 3,5-5m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 126,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN100 H 5-7m",
1.13.105,"STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",
1.13.106,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN125 H bis 3,5m STLB-Bau 2023-10 075 3624 größter DN 125, 50,000 St ***",
1.13.107,"Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN125 H 3,5-5m STLB-Bau 2023-10 075 3624 größter DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5","m,"
1.13.109,"STLB-Bau 2023-10 075 3624 größter DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN160 H bis","7 m, 3,5m"
1.13.110,"STLB-Bau 2023-10 075 3624 größter DN 160, 50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN160 H STLB-Bau 2023-10 075 3624 größter DN 160, Montagehöhe über Gelände/Fußboden über 3,5","3,5-5m bis 5 m,"
1.13.111,"100,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN160 H 5-7m STLB-Bau 2023-10 075 3624 größter DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7","m,"
,"15,000 St",
1.13.112,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN200 H bis STLB-Bau 2023-10 075 3624,"3,5m"
