Pos-Nr. Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis in EUR
,"größter DN 200, 40,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN200 H",
1.13.113,"STLB-Bau 2023-10 075 3624 größter DN 200, Montagehöhe über","3,5-5m Gelände/Fußboden über 3,5 bis 5 m,"
1.13.114 1.13.115,"80,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN200 H STLB-Bau 2023-10 075 3624 größter DN 200, Montagehöhe über Gelände/Fußboden über 5 15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN250 STLB-Bau 2023-10 075 3624 größter DN 250,","5-7m bis 7 m, H bis 3,5m"
1.13.116,"17,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN250 STLB-Bau 2023-10 075 3624 größter DN 250, Montagehöhe über Gelände/Fußboden","H 3,5-5m über 3,5 bis 5 m,"
1.13.117,"33,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN250 STLB-Bau 2023-10 075 3624 größter DN 250, Montagehöhe über Gelände/Fußboden über","H 5-7m 5 bis 7 m,"
,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz STLB-Bau 2023-10 075 3624",
1.13.118,"DN280 H 3,5-5m größter DN 280, Montagehöhe über Gelände/Fußboden über 3,5 bis","5 m,"
1.13.119,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.103 Übergangsstück Luftleitg rund konisch Stahl verz DN1250 H 3,5-5m STLB-Bau 2023-10 075 3624 größter DN 1250, Montagehöhe über Gelände/Fußboden über 3,5 1,000 St Ausführung der Formstücke","bis 5 m,"
1.13.120,"Abzweigstück Luftleitg rund 90Grad Stahl verz DN100 STLB-Bau 2023-10 075 3624 Abzweigstück, für Luftleitung, rund, Luftdichtheitsklasse DIN EN 1506, aus verzinktem Stahl, größter DN 100, symmetrisch, mit Lippendichtung, geschraubt/genietet, mit Dichtungsband, min./max. Temperatur Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über bis 3,5 m, mit Aufhänge-/Auflagekonstruktion, befestigen mit Befestigungsmitteln bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund 7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN100 symmetrisch H 3,5-5m","symmetrisch H bis 3,5m ATC3 DIN EN 16798-3, 90 Grad, Maße Einsteckenden, mit der geförderten Gelände/Fußboden mit Stahlbeton."
,"STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
1.13.121,,
