0,1,2
Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR
1.13.122,"14,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN100 STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",symmetrisch H 5-7m
1.13.123,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN125 symmetrisch STLB-Bau 2023-10 075 3624","H bis 3,5m"
1.13.124,"17,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN125 symmetrisch STLB-Bau 2023-10 075 3624 größter DN 125, Montagehöhe über Gelände/Fußboden über 3,5","H 3,5-5m bis 5 m,"
1.13.125,"33,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN125 symmetrisch STLB-Bau 2023-10 075 3624 größter DN 125, Montagehöhe über Gelände/Fußboden über 5 bis","H 5-7m 7 m,"
1.13.126,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN160 symmetrisch STLB-Bau 2023-10 075 3624 größter DN 160,","H bis 3,5m"
1.13.127,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN160 symmetrisch STLB-Bau 2023-10 075 3624","H 3,5-5m"
1.13.128,"23,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN160 symmetrisch STLB-Bau 2023-10 075 3624 größter DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",H 5-7m
1.13.129,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN200 symmetrisch H STLB-Bau 2023-10 075 3624","bis 3,5m"
1.13.130,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN200 symmetrisch H STLB-Bau 2023-10 075 3624 größter DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","3,5-5m"
1.13.131,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN200 symmetrisch H STLB-Bau 2023-10 075 3624 größter DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",5-7m
1.13.132,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.120 Abzweigstück Luftleitg rund 90Grad Stahl verz DN250 symmetrisch H bis STLB-Bau 2023-10 075 3624,"3,5m"
