Pos-Nr. (Pos- Nr.),Menge,Einheit,Einheitspreis in EUR
1.13.153,"4,000 St *** Bezugsbeschreibung Muffe Luftleitg rund Stahl verz DN80 H bis 3,5m STLB-Bau 2023-10 075 3624 Muffe, für Luftleitung, rund Luftdichtheitsklasse ATC3 DIN EN verzinktem Stahl, DN 80, min./max. Temperatur der geförderten Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden",,"16798-3, Maße DIN EN Luft -15 bis 40 Grad bis 3,5 m."
1.13.154,"65,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN80 H 3,5-5m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.155,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN100 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 100,",,
1.13.156,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN100 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.157,"95,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN100 H 5-7m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.158,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN125 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 125,",,
1.13.159,"36,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN125 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.160,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN125 H 5-7m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.161,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN160 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160,",,
1.13.162,"48,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.153 Muffe Luftleitg rund Stahl verz DN160 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m. 24,000 St",,
