Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis EUR
1.13.174,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN100 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 100,",
1.13.175,"90,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN100 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.176,"175,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN100 H 5-7m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",
1.13.177,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN125 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 125,",
1.13.178,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN125 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.179,"100,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN125 H 5-7m STLB-Bau 2023-10 075 3624",
1.13.180,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN160 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160,",
1.13.181,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN160 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.182,"100,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN160 H 5-7m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",
1.13.183,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN200 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200,",
1.13.184,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN200 H 3,5-5m STLB-Bau 2023-10 075 3624",
