Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR
1.13.185,"DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m. 145,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN200 H 5-7m",
1.13.186,"25,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN250 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 250,",
1.13.187,"55,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN250 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.188,"105,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN250 H 5-7m STLB-Bau 2023-10 075 3624 DN 250, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",
1.13.189,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN280 H bis 3,5m STLB-Bau 2023-10 075 3624",
1.13.190,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN280 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 280, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.191,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.172 Steckverbinder Luftleitg rund Stahl verz DN355 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.192,"2,000 St *** Bezugsbeschreibung Enddeckel Luftleitg rund Stahl verz DN80 H bis 3,5m STLB-Bau 2023-10 075 3624 Enddeckel, für Luftleitung, rund Luftdichtheitsklasse ATC3 DIN EN aus verzinktem Stahl, DN 80, zum Einstecken, mit Lippendichtung, geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Gelände/Fußboden bis 3,5 m. 8,000 St","16798-3, Maße DIN EN 1506, min./max. Temperatur der Pa, Montagehöhe über"
1.13.193,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN80 H 3,5-5m STLB-Bau 2023-10 075 3624 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.194,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN100 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 100,",
