Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis EUR,Gesamtpreis EUR
1.13.195,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN100 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.196,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN100 H 5-7m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.197,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN125 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 125,",,
1.13.198,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN125 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.199,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN125 H 5-7m STLB-Bau 2023-10 075 3624 DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.200,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN160 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 160,",,
1.13.201,"30,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN160 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.202,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN160 H 5-7m STLB-Bau 2023-10 075 3624 DN 160, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
1.13.203,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN200 H bis 3,5m STLB-Bau 2023-10 075 3624 DN 200,",,
1.13.204,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN200 H 3,5-5m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
1.13.205,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.192 Enddeckel Luftleitg rund Stahl verz DN200 H 5-7m STLB-Bau 2023-10 075 3624 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m.",,
