Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis in,Gesamtpreis in
1.13.216,"EUR EUR Inspektionsöffnung, isoliert oval Stahl verz 300/200mm","EUR EUR Inspektionsöffnung, isoliert oval Stahl verz 300/200mm"
1.13.217,"40,000 St Inspektionsöffnung, diffusionsdicht isoliert oval Stahl verz 400/300mm Inspektionsöffnung, isoliert oval Stahl verz 400/300mm Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, oval, aus verzinktem Stahl, Maße 400/300 mm, für Einbau in diffusionsdicht isolierte runde Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3.","40,000 St Inspektionsöffnung, diffusionsdicht isoliert oval Stahl verz 400/300mm Inspektionsöffnung, isoliert oval Stahl verz 400/300mm Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, oval, aus verzinktem Stahl, Maße 400/300 mm, für Einbau in diffusionsdicht isolierte runde Luftleitung, mit Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3 DIN EN 16798-3."
1.13.218,"20,000 St Wand-/Deckendurchführung (Sichtinstallation) DN100-250 Wand-/Deckendurchführung bei Sichtinstallation, für Wände/Decken ohne Brandschutztechnische Anforderung, für runde Luftleitungen aus verzinktem Stahl, Rohrdurchmesser über 100 bis 250 mm, Wand-/Deckendicke über 100 bis 350 mm. Rohrdurchführung mit umlaufender Körperschalldämmung und beidseitigen Abdeckrosetten aus verzinktem Stahlblech bei Sichtinstallation","20,000 St Wand-/Deckendurchführung (Sichtinstallation) DN100-250 Wand-/Deckendurchführung bei Sichtinstallation, für Wände/Decken ohne Brandschutztechnische Anforderung, für runde Luftleitungen aus verzinktem Stahl, Rohrdurchmesser über 100 bis 250 mm, Wand-/Deckendicke über 100 bis 350 mm. Rohrdurchführung mit umlaufender Körperschalldämmung und beidseitigen Abdeckrosetten aus verzinktem Stahlblech bei Sichtinstallation"
1.13.219,"*** Bezugsbeschreibung Luftltg rund ATC2 Stahl verz geschweißt DN160 -750-1000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, aus verzinktem Stahl, geschweißt, Maße DIN EN 1506, DN 160, Wanddicke 1,5 mm, Verbindung bei glatten Rohrenden mit Flanschprofil und Spannring, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 1000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. 10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219","*** Bezugsbeschreibung Luftltg rund ATC2 Stahl verz geschweißt DN160 -750-1000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, aus verzinktem Stahl, geschweißt, Maße DIN EN 1506, DN 160, Wanddicke 1,5 mm, Verbindung bei glatten Rohrenden mit Flanschprofil und Spannring, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 1000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. 10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219"
1.13.220,"Luftltg rund Stahl verz DN160 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",schallg.
1.13.221,"10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219 Luftltg rund ATC2 Stahl verz geschweißt DN200 -750-1000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. DN 200.","10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219 Luftltg rund ATC2 Stahl verz geschweißt DN200 -750-1000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. DN 200."
1.13.222,"30,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219 Luftltg rund Stahl verz DN200 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
1.13.223,"45,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219 Luftltg rund ATC2 Stahl verz geschweißt DN250 -750-1000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. DN 250. 5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219 Luftltg rund Stahl verz DN250 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg.","45,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219 Luftltg rund ATC2 Stahl verz geschweißt DN250 -750-1000Pa H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. DN 250. 5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.219 Luftltg rund Stahl verz DN250 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg."
1.13.224,"DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.","DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m."
,"m Bezugsbeschreibung Luftleitg rund 90Grad Stahl verz DN160 glatt H bis 3,5m für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Biegeradius größer","m Bezugsbeschreibung Luftleitg rund 90Grad Stahl verz DN160 glatt H bis 3,5m für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Biegeradius größer"
