Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in Gesamtpreis
1.13.226,"Einheit EUR in EUR Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Biegeradius größer gleich 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 160, Wanddicke 1,5 mm, glatt, mit Flansch, mit Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben aus nichtrostendem Stahl und Dichtung, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. Bogen Luftleitg","Einheit EUR in EUR Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Biegeradius größer gleich 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 160, Wanddicke 1,5 mm, glatt, mit Flansch, mit Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben aus nichtrostendem Stahl und Dichtung, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. Bogen Luftleitg"
1.13.227,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.225 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H bis 3,5m DN 200.","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.225 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H bis 3,5m DN 200."
1.13.228,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.225 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H 3,5-5m DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.","7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.225 Bogen Luftleitg rund 90Grad Stahl verz DN200 glatt H 3,5-5m DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m."
1.13.229,"11,000 St *** Bezugsbeschreibung Bogen Passstück kleiner 90Grad Stahl verz DN200 glatt H bis 3,5m Bogen, als Passstück, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Biegeradius größer gleich 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 200, Wanddicke 1,5 mm, glatt, mit Flansch, mit Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben aus nichtrostendem Stahl und Dichtung,min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/ Auflagekonstruktion DIN EN 12236, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. 2,000 St","11,000 St *** Bezugsbeschreibung Bogen Passstück kleiner 90Grad Stahl verz DN200 glatt H bis 3,5m Bogen, als Passstück, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Biegeradius größer gleich 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 200, Wanddicke 1,5 mm, glatt, mit Flansch, mit Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben aus nichtrostendem Stahl und Dichtung,min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/ Auflagekonstruktion DIN EN 12236, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. 2,000 St"
1.13.230,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.229 Bogen Passstück kleiner 90Grad Stahl verz DN200 glatt H 3,5-5m Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.229 Bogen Passstück kleiner 90Grad Stahl verz DN200 glatt H 3,5-5m Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m."
1.13.231,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.229 Bogen Passstück kleiner 90Grad Stahl verz DN250 glatt H bis 3,5m DN 250.","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.229 Bogen Passstück kleiner 90Grad Stahl verz DN250 glatt H bis 3,5m DN 250."
1.13.232,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.229 Bogen Passstück kleiner 90Grad Stahl verz DN250 glatt H 3,5-5m DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.229 Bogen Passstück kleiner 90Grad Stahl verz DN250 glatt H 3,5-5m DN 250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m."
1.13.233,"*** Bezugsbeschreibung Übergangsstück Luftleitg rund konisch Stahl verz DN250 H bis 3,5m Übergangsstück, für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, konisch, Maße DIN EN 1506, aus verzinktem Stahl, größter DN 250, Wanddicke 1,5 mm, mit Flansch, mit Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben aus nichtrostendem Stahl und Dichtung,min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/ Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.","*** Bezugsbeschreibung Übergangsstück Luftleitg rund konisch Stahl verz DN250 H bis 3,5m Übergangsstück, für Luftleitung, rund, Luftdichtheitsklasse ATC2 DIN EN 16798-3, konisch, Maße DIN EN 1506, aus verzinktem Stahl, größter DN 250, Wanddicke 1,5 mm, mit Flansch, mit Flanschverbinder, mit Spannschelle und Spannschloss, aus Stahl, mit Schrauben aus nichtrostendem Stahl und Dichtung,min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/ Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton."
1.13.234,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.233 Übergangsstück Luftleitg rund konisch Stahl verz DN250 H 3,5-5m Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.233 Übergangsstück Luftleitg rund konisch Stahl verz DN250 H 3,5-5m Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m."
1.13.235,"1,000 St *** Bezugsbeschreibung Abzweigstück Luftleitg rund 90Grad Stahl verz DN160 symmetrisch H bis 3,5m","1,000 St *** Bezugsbeschreibung Abzweigstück Luftleitg rund 90Grad Stahl verz DN160 symmetrisch H bis 3,5m"
