*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung
Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät,Ventilatorkonvektor Kühlen 1.120 x 480 Umluft Standgerät
"Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°","Ventilatorkonvektor zum Kühlen im 2-Leiter-System, mit Umluftbetrieb, vertikale Montage Luftrichtung, Umlenkung 90°"
- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne,- Umluft vorne
- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben,- Zuluft oben
Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher,Wärmeaustauscher
- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen,- 4 Rohrreihen Kühlen
Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten,Technische Daten
Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:,Ventilatoren:
Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:,Stromaufnahme max. [A]:
Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:,Spannung/Frequenz [V/Hz]:
Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1,Drehzahlstufe: 1
Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:
Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6,Leistungsaufnahme [W]: 6
"SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08","SFPv [kW/(m³/s)]: 0,08"
"Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06","Stromaufnahme [A]: 0,06"
Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor,Steuerspannung EC Motor
Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3
Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:,Luftvolumenstrom [m³/h]:
Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:,Leistungsaufnahme [W]:
