Pos-Nr. Nr.),(Pos-,Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
,,"Radialventilatoren mit EC-Motoren: - Ausstattung des Klimagerätes mit zwei freilaufenden Radialventilatoren mit EC-Motoren - Kombination Laufrad/EC-Motor erfüllt die Vorgaben der ErP-Richtlinie 2009/125/EG - Kombination Laufrad/EC-Motor je statisch und dynamisch in zwei Ebenen gewuchtet für einen schwingungsarmen Betrieb (Wuchtgüte: G6,3 nach DIN ISO 21940-11) - zugehörig zu den Systemen Radialventilator ist jeweils eine Einströmdüse aus verzinktem Stahlblech","Radialventilatoren mit EC-Motoren: - Ausstattung des Klimagerätes mit zwei freilaufenden Radialventilatoren mit EC-Motoren - Kombination Laufrad/EC-Motor erfüllt die Vorgaben der ErP-Richtlinie 2009/125/EG - Kombination Laufrad/EC-Motor je statisch und dynamisch in zwei Ebenen gewuchtet für einen schwingungsarmen Betrieb (Wuchtgüte: G6,3 nach DIN ISO 21940-11) - zugehörig zu den Systemen Radialventilator ist jeweils eine Einströmdüse aus verzinktem Stahlblech","Radialventilatoren mit EC-Motoren: - Ausstattung des Klimagerätes mit zwei freilaufenden Radialventilatoren mit EC-Motoren - Kombination Laufrad/EC-Motor erfüllt die Vorgaben der ErP-Richtlinie 2009/125/EG - Kombination Laufrad/EC-Motor je statisch und dynamisch in zwei Ebenen gewuchtet für einen schwingungsarmen Betrieb (Wuchtgüte: G6,3 nach DIN ISO 21940-11) - zugehörig zu den Systemen Radialventilator ist jeweils eine Einströmdüse aus verzinktem Stahlblech"
,,- Laufräder:,- Laufräder:,- Laufräder:
,,- D = 350 mm (2x),- D = 350 mm (2x),- D = 350 mm (2x)
,,- EC-Motoren:,- EC-Motoren:,- EC-Motoren:
,,- Energieeffizienzklasse: IE5 - Thermische Klasse: THCL155,- Energieeffizienzklasse: IE5 - Thermische Klasse: THCL155,- Energieeffizienzklasse: IE5 - Thermische Klasse: THCL155
,,"- Motorschutz mit integriertem, aktivem Temperaturmanagement (Schutzart: IP54) - verschleiß- und wartungsfreie Kugellager, bürstenlose Kommutierungen, isolierte","- Motorschutz mit integriertem, aktivem Temperaturmanagement (Schutzart: IP54) - verschleiß- und wartungsfreie Kugellager, bürstenlose Kommutierungen, isolierte","- Motorschutz mit integriertem, aktivem Temperaturmanagement (Schutzart: IP54) - verschleiß- und wartungsfreie Kugellager, bürstenlose Kommutierungen, isolierte"
,,"Lagersysteme zur Vermeidung von Lagerströmen - Motorendrehzahlen stufenlos steuer- und regelbar mittels 0-10VDC Steuersignal durch integrierte Elektronik, Ansteuerung direkt aus dem Reglersystem des Klimagerätes","Lagersysteme zur Vermeidung von Lagerströmen - Motorendrehzahlen stufenlos steuer- und regelbar mittels 0-10VDC Steuersignal durch integrierte Elektronik, Ansteuerung direkt aus dem Reglersystem des Klimagerätes","Lagersysteme zur Vermeidung von Lagerströmen - Motorendrehzahlen stufenlos steuer- und regelbar mittels 0-10VDC Steuersignal durch integrierte Elektronik, Ansteuerung direkt aus dem Reglersystem des Klimagerätes"
,,"- integrierte Fehlermelderelais, Auswertung über Störmeldeausgang","- integrierte Fehlermelderelais, Auswertung über Störmeldeausgang","- integrierte Fehlermelderelais, Auswertung über Störmeldeausgang"
,,"- integrierte Schwingungssensoren für vorausschauende Wartung - Berührungsstrom nach IEC 60990 < 3,5mA","- integrierte Schwingungssensoren für vorausschauende Wartung - Berührungsstrom nach IEC 60990 < 3,5mA","- integrierte Schwingungssensoren für vorausschauende Wartung - Berührungsstrom nach IEC 60990 < 3,5mA"
,,"- Motorstrombegrenzung, Sanftanlauf sowie Unterspannungs- und Phasenausfallserkennung integriert für sicheren Betrieb","- Motorstrombegrenzung, Sanftanlauf sowie Unterspannungs- und Phasenausfallserkennung integriert für sicheren Betrieb","- Motorstrombegrenzung, Sanftanlauf sowie Unterspannungs- und Phasenausfallserkennung integriert für sicheren Betrieb"
