Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in Gesamtpreis in
2.8.15,"EUR EUR Im Laborbereich sind über den Labortischen Punktabsaugungen vorgesehen, die vom Labornutzer variable, zuschaltbare Absaugung z.B. von Gehäusen, Versuchsanordnungen genutzt werden. sind Rohrstutzen mit angeschlossenem Flexschlauch, dieser endet ca. 0,5 m über dem Die Verbindung erfolgt über Schellen als Klemmverbindung. Punktabsaugungen System 04RLT14 - Prozessfortluftanlage Säure/ Lauge variabel Punktabsaugungen System 04RLT14 - Prozessfortluftanlage Säure/ Lauge variabel *** Bezugsbeschreibung Flexschlauch FLEX-PVC DN90",Diese Labortisch.
2.8.16,"150,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.8.15 Flexschlauch FLEX-PVC DN140 DN 140",
2.8.17,"Flexschlauch FLEX-PVC DN200 DN 200 40,000 m Punktabsaugungen System 04RLT15 - Prozessfortluftanlage Lösemittel Punktabsaugungen System 04RLT15 - Prozessfortluftanlage Lösemittel *** Bezugsbeschreibung",variabel variabel FLEX-PE-EC DN90
2.8.18,"Flexschlauch Flexschlauch FLEX-PE-EC, DN 90, Absaugschlauch für die Anwendung explosionsgefährdeten Bereichen, elektrisch leitfähiges Polyethylen, mit darin eingebetteter zulässiger Unterdruck: 500 Pa Mindestwert, temperaturbeständig von -35 °C bis Beständigkeit gegen Öle, Benzin und viele Chemikalien, Oberflächenwiederstand","Federstahlspirale, + 80 °C, < 1000 Ohm gem."
2.8.19,"50,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 2.8.18 Flexschlauch FLEX-PE-EC DN160 DN 160",
2.8.20,*** Wiederholungsbeschreibung,zu Bezugs-OZ 2.8.18 Flexschlauch FLEX-PE-EC DN200
2.8.21,"25,000 m *** Bezugsbeschreibung FLEX-Schelle DN90 FLEX-Schelle DN90, Spiralschelle für","gewellte Schläuche, Edelstahl A2, für alle Schlauchtypen verwendbar"
2.8.22,"200,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.8.21 FLEX-Schelle DN140 FLEX-Schelle wie zuvor beschrieben, jedoch DN140",
2.8.23,"57,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.8.21 FLEX-Schelle DN160 FLEX-Schelle wie zuvor beschrieben, jedoch DN160 26,000 St",
2.8.24,"*** Wiederholungsbeschreibung zu Bezugs-OZ FLEX-Schelle DN200 FLEX-Schelle wie zuvor beschrieben,",2.8.21 jedoch DN200
