Pos-Nr. Nr.),Menge Einheit in,Einheitspreis in EUR Gesamtpreis
2.9,Regel- und Absperreinrichtungen PFO,EUR
2.9.1,"Volumenstromregler, konstant, PPs/ PPs el Volumenstromregler, konstant, PPs Volumenstromregler, konstant, PPs *** Bezugsbeschreibung Volumenstromregler Volumenstrom 50 m3/h DN90 Gehäuse PP Volumenstromregler, Volumenstrom 50 m3/h, Druckdifferenz 30 bis 300 mechanisch selbsttätig für konstante Volumenströme, rund, DN 90, Brandverhaltensklasse DIN EN 13501-1 A2 -s3, d2 (schwerentflammbar), wie Gehäuse, Klappenwellen wartungsfrei gelagert, Klappen/-blatt Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), mit mechanischem","Pa bei Sollvolumenstrom, Gehäuse aus Polypropylen (PP), mit Flanschen, Werkstoff aus Polypropylen (PP), Stellungsanzeiger."
2.9.2,"87,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.1 Volumenstromregler Volumenstrom 100 m3/h DN110 Gehäuse PP Volumenstrom 100 m3/h, DN 110",
2.9.3,"81,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.1 Volumenstromregler Volumenstrom 120 m3/h DN125 Gehäuse PP Volumenstrom 120 m3/h, DN 125",
2.9.4,"75,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.1 Volumenstromregler Volumenstrom 320 m3/h DN160 Gehäuse PP Volumenstrom 320 m3/h, DN 160",
2.9.5,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.1 Volumenstromregler Volumenstrom 700 m3/h DN250 Gehäuse PP Volumenstrom 700 m3/h, DN 250",
2.9.6,"6,000 St Volumenstromregler, konstant, PPs el Volumenstromregler, konstant, PPs el *** Bezugsbeschreibung Volumenstromregler Volumenstrom 60 m3/h DN90 Gehäuse PPs el Volumenstromregler, Volumenstrom 60 m3/h, Druckdifferenz 30 bis 300 mechanisch selbsttätig für konstante Volumenströme, rund, DN 90, leitfähig, PPs, el, Brandverhaltensklasse DIN EN 13501-1 A2 -s3, d2 Flanschen, Werkstoff wie Gehäuse, Klappenwellen wartungsfrei Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar),","Pa bei Sollvolumenstrom, Gehäuse aus Polypropylen (PP), (schwerentflammbar), mit gelagert, Klappen/-blatt aus mit mechanischem"
2.9.7,"86,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.6 Volumenstromregler Volumenstrom 100 m3/h DN110 Gehäuse PPs el Volumenstrom 100 m3/h, DN 110",
2.9.8,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.6 Volumenstromregler Volumenstrom 130 m3/h DN125 Gehäuse PPs el Volumenstrom 100 m3/h, DN 110",
2.9.9,"1,000 St Absperrklappe, Hand, PPs Absperrklappe, Hand, PPs *** Bezugsbeschreibung Stellklappe DN90 Gehäuse PP PP handbetätigt Hebelgriff Stellklappe, mit Absperrfunktion, Dichtheitsklasse 3 DIN EN 1751, runde Ausführung, DN 90, Betriebsüber-/-unterdruck bis 1000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Gehäuse aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), mit Flanschverbindung, Werkstoff wie Gehäuse, Klappenwellen wartungsfrei gelagert, Klappenrahmen aus PP, Klappen/-blatt aus Polypropylen (PP), Baustoffklasse DIN 4102-1 B1 handbetätigt, mit Hebelgriff und Feststellvorrichtung, mit mechanischem","max. (schwerentflammbar), Stellungsanzeiger."
