Pos-Nr. Nr.),Einheit medienberührenden Teile aus,Einheitspreis in EUR bestehen.,Gesamtpreis in EUR
,Zulässiger Differenzdruckbereich: 50 bis 1000 Pa. Zulässige Umgebungstemperatur 0 bis 50 °C.,Zulässiger Differenzdruckbereich: 50 bis 1000 Pa. Zulässige Umgebungstemperatur 0 bis 50 °C.,Zulässiger Differenzdruckbereich: 50 bis 1000 Pa. Zulässige Umgebungstemperatur 0 bis 50 °C.
,Einsetzbar bei Kanalgeschwindigkeiten von 2 bis 13 m/s. Nachträgliche Verstellung der eingestellten Betriebsvolumenströme möglich.,Einsetzbar bei Kanalgeschwindigkeiten von 2 bis 13 m/s. Nachträgliche Verstellung der eingestellten Betriebsvolumenströme möglich.,Einsetzbar bei Kanalgeschwindigkeiten von 2 bis 13 m/s. Nachträgliche Verstellung der eingestellten Betriebsvolumenströme möglich.
,Die Ausgangssignale 0/2 bis 10 V DC können verwendet werden zur Istwert-Anzeige sowie zur Anzeige der Klappenposition.,Die Ausgangssignale 0/2 bis 10 V DC können verwendet werden zur Istwert-Anzeige sowie zur Anzeige der Klappenposition.,Die Ausgangssignale 0/2 bis 10 V DC können verwendet werden zur Istwert-Anzeige sowie zur Anzeige der Klappenposition.
,"Gehäuse und Klappe aus Kunststoff PPs-EL mit silikonfreier Klappenblattdichtung aus PUR zum luftdichten Schließen nach DIN EN 1751 Klasse 2, Gehäuseleckage Klasse C nach DIN EN 1751","Gehäuse und Klappe aus Kunststoff PPs-EL mit silikonfreier Klappenblattdichtung aus PUR zum luftdichten Schließen nach DIN EN 1751 Klasse 2, Gehäuseleckage Klasse C nach DIN EN 1751","Gehäuse und Klappe aus Kunststoff PPs-EL mit silikonfreier Klappenblattdichtung aus PUR zum luftdichten Schließen nach DIN EN 1751 Klasse 2, Gehäuseleckage Klasse C nach DIN EN 1751"
,"Messstäbe aus Kunststoff PP, an welchem zur Mittelwertbildung jeweils druck- und saugseitig Messpunkte angebracht sind.","Messstäbe aus Kunststoff PP, an welchem zur Mittelwertbildung jeweils druck- und saugseitig Messpunkte angebracht sind.","Messstäbe aus Kunststoff PP, an welchem zur Mittelwertbildung jeweils druck- und saugseitig Messpunkte angebracht sind."
,Volumenstrom: 100 m3/h NW: 110,Volumenstrom: 100 m3/h NW: 110,Volumenstrom: 100 m3/h NW: 110
,"Klappenlagerung aus PP Mit elektrischem Regler, zugelassen für ATEX Zone 2: II 3G Ex__IIC T6 Gc Speisespannung 24 V AC / DC, +/- 15 %, 50/60 Hz verdrahtet und justiert.","Klappenlagerung aus PP Mit elektrischem Regler, zugelassen für ATEX Zone 2: II 3G Ex__IIC T6 Gc Speisespannung 24 V AC / DC, +/- 15 %, 50/60 Hz verdrahtet und justiert.","Klappenlagerung aus PP Mit elektrischem Regler, zugelassen für ATEX Zone 2: II 3G Ex__IIC T6 Gc Speisespannung 24 V AC / DC, +/- 15 %, 50/60 Hz verdrahtet und justiert."
,"32,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21 VVS-Regler, PPs el, rund, DN125, EX","32,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21 VVS-Regler, PPs el, rund, DN125, EX","32,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21 VVS-Regler, PPs el, rund, DN125, EX"
2.9.22,Volumenstrom: 200 m3/h NW: 125,Volumenstrom: 200 m3/h NW: 125,Volumenstrom: 200 m3/h NW: 125
2.9.23,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21 VVS-Regler, PPs el, rund, DN160, EX Volumenstrom: 250 m3/h","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21 VVS-Regler, PPs el, rund, DN160, EX Volumenstrom: 250 m3/h","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21 VVS-Regler, PPs el, rund, DN160, EX Volumenstrom: 250 m3/h"
,"NW: 160 23,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21","NW: 160 23,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21","NW: 160 23,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.9.21"
2.9.24,"VVS-Regler, PPs el, rund, DN200, EX Volumenstrom: 400 bis 500 m3/h NW: 200","VVS-Regler, PPs el, rund, DN200, EX Volumenstrom: 400 bis 500 m3/h NW: 200","VVS-Regler, PPs el, rund, DN200, EX Volumenstrom: 400 bis 500 m3/h NW: 200"
