Pos-Nr. (Pos- Nr.),Menge,Einheit,Gesamtpreis in
2.12,EUR EUR Brandschutztechnische Komponenten PFO,EUR EUR Brandschutztechnische Komponenten PFO,EUR EUR Brandschutztechnische Komponenten PFO
2.12.1,"Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivdecke Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch DN160 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, rund, DN 160, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Decke, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung,","Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivdecke Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch DN160 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, rund, DN 160, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Decke, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung,","Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivdecke Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch DN160 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, rund, DN 160, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Decke, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung,"
2.12.2,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.1 Brandschutzklappe EI90S Gehäuse Stahl besch DN250 elektr Antrieb Federrücklauf 230V IP54 DN 250","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.1 Brandschutzklappe EI90S Gehäuse Stahl besch DN250 elektr Antrieb Federrücklauf 230V IP54 DN 250","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.1 Brandschutzklappe EI90S Gehäuse Stahl besch DN250 elektr Antrieb Federrücklauf 230V IP54 DN 250"
2.12.3,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.1 Brandschutzklappe EI90S Gehäuse Stahl besch DN280 elektr Antrieb Federrücklauf 230V IP54 DN 280","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.1 Brandschutzklappe EI90S Gehäuse Stahl besch DN280 elektr Antrieb Federrücklauf 230V IP54 DN 280","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.1 Brandschutzklappe EI90S Gehäuse Stahl besch DN280 elektr Antrieb Federrücklauf 230V IP54 DN 280"
2.12.4,"1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivwand Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivwand *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch DN125 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, rund, DN 125, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Wand, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und","1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivwand Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivwand *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch DN125 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, rund, DN 125, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Wand, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und","1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivwand Brandschutzklappen, Stahl verzinkt, beschichtet, rund, Einbau mit Weichschott in Massivwand *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch DN125 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, rund, DN 125, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Wand, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und"
2.12.5,,,
,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN160 elektr Antrieb Federrücklauf 230V IP54 DN 160","6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN160 elektr Antrieb Federrücklauf 230V IP54 DN 160","6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN160 elektr Antrieb Federrücklauf 230V IP54 DN 160"
2.12.6,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN180 elektr Antrieb Federrücklauf 230V IP54 DN 180","10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN180 elektr Antrieb Federrücklauf 230V IP54 DN 180","10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN180 elektr Antrieb Federrücklauf 230V IP54 DN 180"
2.12.7,*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN200 elektr Antrieb Federrücklauf 230V IP54 DN 200,*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN200 elektr Antrieb Federrücklauf 230V IP54 DN 200,*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN200 elektr Antrieb Federrücklauf 230V IP54 DN 200
2.12.8,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN224 elektr Antrieb Federrücklauf 230V IP54 DN 224","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN224 elektr Antrieb Federrücklauf 230V IP54 DN 224","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN224 elektr Antrieb Federrücklauf 230V IP54 DN 224"
