Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis in EUR Gesamtpreis in EUR
2.12.10,*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN280 elektr Antrieb Federrücklauf 230V IP54
2.12.11,*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.4 Brandschutzklappe EI90S Gehäuse Stahl besch DN315 elektr Antrieb Federrücklauf 230V IP54
2.12.12,"Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz B 250mm H 250mm elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, eckig, Nennbreite 250 mm, Nennhöhe 250 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Decke, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit einer Inspektionsöffnung, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der"
2.12.13,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 300mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 300 mm, Nennhöhe 200 mm"
2.12.14,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 300mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 300 mm, Nennhöhe 300 mm"
2.12.15,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 400 mm"
2.12.16,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 500mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 500 mm, Nennhöhe 400 mm"
2.12.17,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 600mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 600 mm, Nennhöhe 300 mm"
2.12.18,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 650mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 650 mm, Nennhöhe 300 mm"
2.12.19,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 700 mm, Nennhöhe 300 mm"
