Pos-Nr. (Pos-,Menge,Einheit,Einheitspreis in Gesamtpreis
2.12.20,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 800mm H 600mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 800 mm, Nennhöhe 600 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 800mm H 600mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 800 mm, Nennhöhe 600 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 800mm H 600mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 800 mm, Nennhöhe 600 mm"
2.12.21,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 900 mm, Nennhöhe 350 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 900 mm, Nennhöhe 350 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 900 mm, Nennhöhe 350 mm"
2.12.22,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 400mm elektr Antrieb 230V IP54",,Federrücklauf
2.12.23,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 350 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 350 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 350 mm"
2.12.24,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 400mm elektr 230V IP54 Nennbreite 1000 mm, Nennhöhe 400 mm",,Antrieb Federrücklauf
2.12.25,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 500 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 500 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 500 mm"
2.12.26,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1100mm H 600mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1100 mm, Nennhöhe 600 mm",,
2.12.27,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1200 mm, Nennhöhe 400 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1200 mm, Nennhöhe 400 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1200 mm, Nennhöhe 400 mm"
2.12.28,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 800mm elektr Antrieb IP54 Nennbreite 1200 mm, Nennhöhe 800 mm",,
,Federrücklauf 230V,Federrücklauf 230V,Federrücklauf 230V
2.12.29,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1300mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1300 mm, Nennhöhe 400 mm",,
2.12.30,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1400mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1400 mm, Nennhöhe 800 mm 1,000 St","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1400mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1400 mm, Nennhöhe 800 mm 1,000 St","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1400mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1400 mm, Nennhöhe 800 mm 1,000 St"
