Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in EUR Gesamtpreis in EUR
2.12.31,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1500mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1500 mm, Nennhöhe 800 mm","*** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1500mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1500 mm, Nennhöhe 800 mm"
2.12.32,"1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch B 200mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, eckig, Nennbreite 200 mm, Nennhöhe 200 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Wand, Weichschotteinbau, einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN","1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch B 200mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, eckig, Nennbreite 200 mm, Nennhöhe 200 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Wand, Weichschotteinbau, einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN"
2.12.33,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 200mm H 250mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 200 mm, Nennhöhe 250 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 200mm H 250mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 200 mm, Nennhöhe 250 mm"
2.12.34,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 250mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 200 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 250mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 200 mm"
2.12.35,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 250mm H 250mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 250 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 250mm H 250mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 250 mm"
2.12.36,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 250mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 300 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 250mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 300 mm"
2.12.37,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 300mm H 200mm elektr Antrieb Federrücklauf 230V IP54","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 300mm H 200mm elektr Antrieb Federrücklauf 230V IP54"
2.12.38,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 300mm H 250mm elektr Antrieb Federrücklauf 230V IP54","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 300mm H 250mm elektr Antrieb Federrücklauf 230V IP54"
,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 300mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 300 mm, Nennhöhe 300 mm","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 300mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 300 mm, Nennhöhe 300 mm"
2.12.39,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 200mm elektr Antrieb Federrücklauf 230V","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.32 Brandschutzklappe EI90S Gehäuse Stahl besch B 350mm H 200mm elektr Antrieb Federrücklauf 230V"
