Pos-Nr. Nr.),(Pos-,Menge,Einheitspreis in EUR,Gesamtpreis in EUR
2.12.61,,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.59 Brandschutzklappe EI90S Gehäuse Stahl besch DN250 elektr Antrieb Federrücklauf (Ex) DN 250","5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.59 Brandschutzklappe EI90S Gehäuse Stahl besch DN250 elektr Antrieb Federrücklauf (Ex) DN 250","5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.59 Brandschutzklappe EI90S Gehäuse Stahl besch DN250 elektr Antrieb Federrücklauf (Ex) DN 250"
2.12.62,,"2,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke, Ex-Antrieb Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke, Ex-Antrieb Brandschutzklappe EI90S Gehäuse Stahl verz B 500mm H 400mm elektr Antrieb Federrücklauf (Ex) Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, eckig, Nennbreite 500 mm, Nennhöhe 400 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Decke, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit einer Inspektionsöffnung, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, thermoelektrischer Auslöseeinrichtung und Klemmkasten, in EX-Ausführung, ATEX-zertifiziert nach Richtlinie 2014/34/EU für Gase Zone 2 und Stäube Zone 22 (Kennzeichnung: II 3G c IIC T 6 bzw. II 3D c T80 °C). Versorgungsspannung 24 - 240 V AC/DC, je ± 10%, selbstadaptiv 50-60Hz ± 20% /","2,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke, Ex-Antrieb Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke, Ex-Antrieb Brandschutzklappe EI90S Gehäuse Stahl verz B 500mm H 400mm elektr Antrieb Federrücklauf (Ex) Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, eckig, Nennbreite 500 mm, Nennhöhe 400 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Decke, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit einer Inspektionsöffnung, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, thermoelektrischer Auslöseeinrichtung und Klemmkasten, in EX-Ausführung, ATEX-zertifiziert nach Richtlinie 2014/34/EU für Gase Zone 2 und Stäube Zone 22 (Kennzeichnung: II 3G c IIC T 6 bzw. II 3D c T80 °C). Versorgungsspannung 24 - 240 V AC/DC, je ± 10%, selbstadaptiv 50-60Hz ± 20% /","2,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke, Ex-Antrieb Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivdecke, Ex-Antrieb Brandschutzklappe EI90S Gehäuse Stahl verz B 500mm H 400mm elektr Antrieb Federrücklauf (Ex) Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, eckig, Nennbreite 500 mm, Nennhöhe 400 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Decke, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit einer Inspektionsöffnung, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, thermoelektrischer Auslöseeinrichtung und Klemmkasten, in EX-Ausführung, ATEX-zertifiziert nach Richtlinie 2014/34/EU für Gase Zone 2 und Stäube Zone 22 (Kennzeichnung: II 3G c IIC T 6 bzw. II 3D c T80 °C). Versorgungsspannung 24 - 240 V AC/DC, je ± 10%, selbstadaptiv 50-60Hz ± 20% /"
,,"1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand, Ex-Antrieb Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand, Ex-Antrieb","1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand, Ex-Antrieb Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand, Ex-Antrieb","1,000 St Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand, Ex-Antrieb Brandschutzklappen, Stahl verzinkt, beschichtet, eckig, Einbau mit Weichschott in Massivwand, Ex-Antrieb"
2.12.63,,"*** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch B 200mm H 200mm elektr Antrieb Federrücklauf (Ex) Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, eckig, Nennbreite 200 mm, Nennhöhe 200 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Wand, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, thermoelektrischer Auslöseeinrichtung und Klemmkasten, in EX- Ausführung, ATEX-zertifiziert nach Richtlinie 2014/34/EU für Gase Zone 2 und Stäube Zone 22 (Kennzeichnung: II 3G c IIC T 6 bzw. II 3D c T80 °C). Versorgungsspannung 24 - 240 V AC/DC, je ± 10%, selbstadaptiv 50-60Hz ± 20% / Anschlussleistung max. 20W, ca. 16 W / Einschaltstrom (< 1 s) 2A / Laufzeit ca. 30 s (Motor) / ca. 10 s (Federrücklauf) / Schutzklasse I (Schutzleiter) / Schutzgrad IP66","*** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch B 200mm H 200mm elektr Antrieb Federrücklauf (Ex) Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, eckig, Nennbreite 200 mm, Nennhöhe 200 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Wand, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, thermoelektrischer Auslöseeinrichtung und Klemmkasten, in EX- Ausführung, ATEX-zertifiziert nach Richtlinie 2014/34/EU für Gase Zone 2 und Stäube Zone 22 (Kennzeichnung: II 3G c IIC T 6 bzw. II 3D c T80 °C). Versorgungsspannung 24 - 240 V AC/DC, je ± 10%, selbstadaptiv 50-60Hz ± 20% / Anschlussleistung max. 20W, ca. 16 W / Einschaltstrom (< 1 s) 2A / Laufzeit ca. 30 s (Motor) / ca. 10 s (Federrücklauf) / Schutzklasse I (Schutzleiter) / Schutzgrad IP66","*** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl besch B 200mm H 200mm elektr Antrieb Federrücklauf (Ex) Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus beschichtetem Stahl, eckig, Nennbreite 200 mm, Nennhöhe 200 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Wand, Weichschotteinbau einschl. Abhänge-/Tragkonstruktion, mit Absperrklappenblatt aus mineralischem Baustoff, beschichtet, mit zwei elastischen Verbindungsstücken mit Potentialausgleich, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, thermoelektrischer Auslöseeinrichtung und Klemmkasten, in EX- Ausführung, ATEX-zertifiziert nach Richtlinie 2014/34/EU für Gase Zone 2 und Stäube Zone 22 (Kennzeichnung: II 3G c IIC T 6 bzw. II 3D c T80 °C). Versorgungsspannung 24 - 240 V AC/DC, je ± 10%, selbstadaptiv 50-60Hz ± 20% / Anschlussleistung max. 20W, ca. 16 W / Einschaltstrom (< 1 s) 2A / Laufzeit ca. 30 s (Motor) / ca. 10 s (Federrücklauf) / Schutzklasse I (Schutzleiter) / Schutzgrad IP66"
2.12.64,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 250mm elektr Antrieb Federrücklauf (Ex) Nennbreite 400 mm, Nennhöhe 250 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 250mm elektr Antrieb Federrücklauf (Ex) Nennbreite 400 mm, Nennhöhe 250 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 400mm H 250mm elektr Antrieb Federrücklauf (Ex) Nennbreite 400 mm, Nennhöhe 250 mm"
2.12.65,,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 400mm elektr Antrieb Federrücklauf (Ex) Nennbreite 500 mm, Nennhöhe 400 mm","5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 400mm elektr Antrieb Federrücklauf (Ex) Nennbreite 500 mm, Nennhöhe 400 mm","5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 500mm H 400mm elektr Antrieb Federrücklauf (Ex) Nennbreite 500 mm, Nennhöhe 400 mm"
2.12.66,,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 400mm elektr Antrieb Federrücklauf (Ex) Nennbreite 600 mm, Nennhöhe 400 mm","4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 400mm elektr Antrieb Federrücklauf (Ex) Nennbreite 600 mm, Nennhöhe 400 mm","4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 400mm elektr Antrieb Federrücklauf (Ex) Nennbreite 600 mm, Nennhöhe 400 mm"
,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 500mm elektr Antrieb Federrücklauf (Ex) Nennbreite 600 mm, Nennhöhe 500 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 500mm elektr Antrieb Federrücklauf (Ex) Nennbreite 600 mm, Nennhöhe 500 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 Brandschutzklappe EI90S Gehäuse Stahl besch B 600mm H 500mm elektr Antrieb Federrücklauf (Ex) Nennbreite 600 mm, Nennhöhe 500 mm"
2.12.67,,St Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 EI90S Gehäuse Stahl besch B 700mm H 300mm elektr Antrieb Federrücklauf (Ex),St Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 EI90S Gehäuse Stahl besch B 700mm H 300mm elektr Antrieb Federrücklauf (Ex),St Wiederholungsbeschreibung zu Bezugs-OZ 2.12.63 EI90S Gehäuse Stahl besch B 700mm H 300mm elektr Antrieb Federrücklauf (Ex)
2.12.68,,"1,000 *** Brandschutzklappe","1,000 *** Brandschutzklappe","1,000 *** Brandschutzklappe"
