Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in EUR
2.13.20,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 1500-2000mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 1500 bis 2000 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,"
2.13.21,"30,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L 1500-2000mm H 5-7m STLB-Bau 2023-10 075 3622 Kantenlänge über 1500 bis 2000 mm, Montagehöhe über Gelände/Fußboden über 5 bis","7 m,"
2.13.22,"75,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L ü. 2000mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 2000 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",
2.13.23,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.13 Formstück Luftltg rechteckig PP Kanten-L ü. 2000mm H 5-7m STLB-Bau 2023-10 075 3622 Kantenlänge über 2000 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,",
2.13.24,"190,000 m2 Kanalrahmen aus PPs für Verbindungen Kanalrahmen aus PPs, für Verbindung von Kanälen mit rechteckigem Querschnitt mit Bauteilen, wie Brandschutzklappen, Kulissenschalldämpfer, für Kanalverbindungen bei Materialwechsel von Stahl verzinkt auf PPs, Kanalrahmen gebohrt und angeschweißt",
2.13.25,"*** Bezugsbeschreibung Elastische Verbindung rechteckige Luftleitg Kanten-L 250-500mm STLB-Bau 2023-10 075 3609 Elastisches Verbindungsstück, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Luftdichtheitsklasse ATC3 DIN EN 16798-3, Anordnung im Unterdruckbereich, mit Potentialausgleich, für rechteckige Luftleitung, größte Kantenlänge über 250 bis 500 mm, Anschlussrahmen aus Kunststoff, einschl. Gegenrahmen, Schrauben aus nichtrostendem Stahl Dichtung.",mit und
2.13.26,"45,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.25 Elastische Verbindung rechteckige Luftleitg Kanten-L 500-1000mm STLB-Bau 2023-10 075 3609 größte Kantenlänge über 500 bis 1000 mm,",
2.13.27,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.25 Elastische Verbindung rechteckige Luftleitg Kanten-L 1000-1500mm STLB-Bau 2023-10 075 3609 größte Kantenlänge über 1000 bis 1500 mm,",
2.13.28,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.25 Elastische Verbindung rechteckige Luftleitg Kanten-L 1500-2000mm STLB-Bau 2023-10 075 3609 größte Kantenlänge über 1500 bis 2000 mm,",
2.13.29,*** Wiederholungsbeschreibung zu Bezugs-OZ 2.13.25 Elastische Verbindung rechteckige Luftleitg Kanten-L ü. 2000mm STLB-Bau 2023-10 075 3609,
