Pos-Nr. (Pos- Nr.),Menge,Einheit,Einheitspreis in Gesamtpreis EUR
2.14.42,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm,",,
2.14.43,"55,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",,"5 m,"
2.14.44,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",,"5 m,"
2.14.45,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 90Grad PP DN800 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 800 mm,",,
2.14.46,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 60Grad PP DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 60 Grad, Außendurchmesser 90 mm,",,
2.14.47,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 60Grad PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 60 Grad, Außendurchmesser 110 mm,",,
2.14.48,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 60Grad PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 60 Grad, Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über",,"3,5 bis 5 m,"
2.14.49,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 60Grad PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620",,
2.14.50,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 60Grad PP DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 60 Grad, Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden über",,"3,5 bis 5 m,"
2.14.51,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 60Grad PP DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 60 Grad, Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden",,"3,5 bis 5"
,"über 2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN75 H bis 3,5m",,"m,"
2.14.52,STLB-Bau 2023-10 075 3620,,
