Pos-Nr. Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis EUR
2.14.53,"Grad, 5,000 St Bogen Luftleitg rund 45Grad PP DN90 H bis 3,5m",
2.14.54,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 110 mm,",
2.14.55,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,"
2.14.56,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 125 mm,",
2.14.57 2.14.58,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden 4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN140 H bis 3,5m","über 3,5 bis 5 m,"
,"STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 140 mm, 6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN160 H bis 3,5m STLB-Bau 2023-10 075 3620",
2.14.59,"45 Grad, Außendurchmesser 160 mm, 7,000 St",
2.14.60,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,"
2.14.61,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 200 mm,",
2.14.62,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,"
2.14.63,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN250 H bis 3,5m",
