Pos-Nr. Nr.),(Pos-,Menge Einheit,Einheitspreis in EUR Gesamtpreis in EUR
2.14.64,,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 250 mm, Montagehöhe über","Gelände/Fußboden über 3,5 bis 5 m,"
2.14.65,,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 45Grad PP DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 45 Grad, Außendurchmesser 280 mm, Montagehöhe über","Gelände/Fußboden über 3,5 bis 5 m,"
2.14.66,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 30Grad PP DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 30 Grad,",
2.14.67,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 30Grad PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 30 Grad, Außendurchmesser 110 mm,",
2.14.68,,"9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 30Grad PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 30 Grad, Außendurchmesser 125 mm,",
2.14.69,,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 30Grad PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 30 Grad, Außendurchmesser 200 mm, Montagehöhe über","Gelände/Fußboden über 3,5 bis 5 m,"
2.14.70,,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 30Grad PP DN800 H bis 3,5m STLB-Bau 2023-10 075 3620 30 Grad, Außendurchmesser 800 mm,",
2.14.71,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 15Grad PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 15 Grad, Außendurchmesser 110 mm,",
2.14.72,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.25 Bogen Luftleitg rund 15Grad PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 15 Grad, Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,"
2.14.73,,"3,000 St *** Bezugsbeschreibung Bogen als Passstück kleiner 90Grad PP DN110 H bis 3,5m Bogen als Passstück kleiner 90 Grad, für Luftleitung, rund, Biegeradius größer gleich 1 DN, Polypropylen (PP) DIN 4741, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), gemäß max. Betriebsdruck und Temperatur, Außendurchmesser 110 mm, Verbindung geschweißt, max.",aus Mindest-Wanddicke
