Pos-Nr. (Pos- Nr.),"Menge Einheitspreis in EUR bis 40 Grad C, mit 12236, schallgedämmt, Befestigungsmitteln mit bauaufsichtlichem Bohrungen,",Einheit Aufhänge-/Auflagekonstruktion DIN EN Nachweis einschl.,Gesamtpreis in EUR befestigen mit Befestigungsuntergrund
2.14.74,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN110 H 3,5-5m Außendurchmesser 110 mm, Montagehöhe über 3,5 bis 5 m.",über Gelände/Fußboden,
2.14.75,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN125 H bis 3,5m Außendurchmesser 125 mm.",,
2.14.76,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN160 H bis 3,5m Außendurchmesser 160 mm.",,
2.14.77,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN160 H 3,5-5m Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
2.14.78,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN200 H bis 3,5m Außendurchmesser 200 mm.",,
2.14.79,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN200 H 3,5-5m Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
2.14.80,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN250 H bis 3,5m Außendurchmesser 250 mm.",,
2.14.81,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN250 H 3,5-5m Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
2.14.82,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.73 Bogen als Passstück kleiner 90Grad PP DN280 H 3,5-5m Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
2.14.83 2.14.84,"3,000 St *** Bezugsbeschreibung Abzweigstück Luftleitg rund 90Grad PP DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 Abzweigstück, für Luftleitung, rund, 90 Grad, aus Polypropylen (PP) DIN 4741, DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. Betriebsdruck und Außendurchmesser 75 mm, Verbindung geschweißt, max. Betriebsüber-/-unterdruck über 3000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. 2,000 St",,"Baustoffklasse Temperatur, 1000 bis über Gelände/ befestigen"
,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN90 H bis 3,5m STLB-Bau 2023-10 075 3620",,
