Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis EUR,in Gesamtpreis EUR
2.14.85,"9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,",
2.14.86,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.14.87,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.14.88,"7,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.14.89,"67,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.14.90,"28,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN140 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm,",,
2.14.91,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.14.92,"22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","5 m,",
2.14.93,"23,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN180 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm,",,
2.14.94,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,",
2.14.95,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.83 Abzweigstück Luftleitg rund 90Grad PP DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,
