Pos-Nr. (Pos- Nr.),Menge,Einheit,Einheitspreis in,Gesamtpreis in EUR
2.14.106,"205,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über 3,5",,"5 m,",
2.14.107,"90,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN140 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm,",,,
2.14.108,"42,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN140 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 140 mm, Montagehöhe über Gelände/Fußboden über 3,5",,"5 m,",
2.14.109,"43,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,,
2.14.110,"47,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5",,"5 m,",
2.14.111,"48,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN180 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm,",,,
2.14.112,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über 3,5",,"5 m,",
2.14.113,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,,
2.14.114,"70,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über 3,5",,"5 m,",
2.14.115,"70,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN225 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 225 mm, Montagehöhe über Gelände/Fußboden über 3,5",,"5 m,",
2.14.116,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.14.101 Übergangsstück Luftleitg rund konisch PP DN250 H bis 3,5m STLB-Bau 2023-10 075 3620",,,
