Pos-Nr. Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in
2.15.9,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.15.7 Formstück Luftltg rechteckig PPs-el Kanten-L 500-1000mm H bis 3,5m STLB-Bau 2023-10 075 3622 Kantenlänge über 500 bis 1000 mm,",EUR
2.15.10,"40,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.15.7 Formstück Luftltg rechteckig PPs-el Kanten-L 500-1000mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 500 bis 1000 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,"
2.15.11,"55,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.15.7 Formstück Luftltg rechteckig PPs-el Kanten-L 1000-1500mm H bis 3,5m STLB-Bau 2023-10 075 3622 Kantenlänge über 1000 bis 1500 mm,",
2.15.12,"40,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.15.7 Formstück Luftltg rechteckig PPs-el Kanten-L 1000-1500mm H 3,5-5m STLB-Bau 2023-10 075 3622 Kantenlänge über 1000 bis 1500 mm, Montagehöhe über Gelände/Fußboden über 3,5","bis 5 m,"
2.15.13,"90,000 m2 Kanalrahmen aus PPs-el für Verbindungen Kanalrahmen aus PPs-el, für Verbindung von Kanälen mit rechteckigem Querschnitt mit Bauteilen, wie Brandschutzklappen, Kulissenschalldämpfer, für Kanalverbindungen bei Materialwechsel von Stahl, verzinkt auf PPs-el, Kanalrahmen gebohrt und angeschweißt, Rahmenbreite und Lochung passend zu dem jeweils anzuschließenden Bauteil, für Kanalsystem für max. Betriebsüber-/- unterdruck über 1000 bis 3000 Pa",
2.15.14,"90,000 m *** Bezugsbeschreibung PP-EL Weichmanschette bis Kantenlänge 500 mm, PP-EL Weichmanschette bis Kantenlänge 500 mm, L= 150 mm, beidseitig mit PP-Els-Flansch, 30x10 mm, 2x gebohrt, für rechteckige Kunststofflüftungskanäle, Manschettenmaterial auf PP-EL Basis, max. Einsatztemp. + 40°C",
2.15.15,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.15.14 PP-EL Weichmanschette bis Kantenlänge 500-1000 mm, Kantenlänge 500 bis 1000 mm 20,000 St Inspektionsöffnungen Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, Dichtung aus PTFE, selbstklebend. Zur Prüfung der Brandschutzklappen ist zusätzlich im Anschlusskanal jeweils eine Revisionsöffnungen einzubauen. Inspektionsöffnung rechteckig, aus Polypropylen, leitfähig, einschl. Verbindungselementen und Ausschnitt im Kanal Bezugsbeschreibung",
2.15.16,"*** Inspektionsöffnung rechteckig PPs, el, 300/200 Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rechteckig, aus Polypropylen elektrisch leitfähig, (PPs, el), Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Maße 300/200 mm, für Einbau in rechteckige Luftleitung, mit Schraubverschluss und Rändelmutter.",
2.15.17,"Inspektionsöffnung rechteckig PPs,el, 400/300 Maße 400/300 mm 30,000 St Inspektionsöffnung rund PPs,el, Durchm. 180-300mm Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, rund, aus Polypropylen leifähig, Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Durchmesser über bis 300 mm, für Einbau in rechteckige Luftleitung, mit Schraubverschluss und Rändelmutter.",
2.15.18,,180
