Pos-Nr. (Pos- Nr.),Menge Einheit Einheitspreis EUR,in,Gesamtpreis in EUR
2.16.72,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",,
2.16.73,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.16.74,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","m,",
2.16.75,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.16.76,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN125 H 3,5-5m STLB-Bau 2023-10 075 3620","m,",
2.16.77,"9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.16.78,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","m,",
2.16.79,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN180 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 180 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","m,",
2.16.80,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",,
2.16.81,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","m,",
2.16.82,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis","m,",
