Pos-Nr. Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
2.16.83,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.70 Abzweigstück Luftleitg rund 90Grad PPs-el DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m,",
2.16.84,"2,000 St *** Bezugsbeschreibung Sattelstutzen Luftleitg rund 90Grad PPs-el DN75 H bis 3,5m STLB-Bau 2023-10 075 3620 Sattelstutzen, für Luftleitung, rund, 90 Grad, aus Polypropylen Baustoffklasse DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke und Temperatur, Außendurchmesser 75 mm, Verbindung geschweißt, über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis","(PPs-el) elektrisch gemäß max. max. -15 bis 40 Grad DIN EN 12236, einschl.","leitfähig, Betriebsdruck Betriebsüber-/-unterdruck C, Montagehöhe schallgedämmt, Bohrungen,"
2.16.85,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.84 Sattelstutzen Luftleitg rund 90Grad PPs-el DN90 H bis 3,5m STLB-Bau 2023-10 075 3620",,
2.16.86,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.84 Sattelstutzen Luftleitg rund 90Grad PPs-el DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 90 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.87,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.84 Sattelstutzen Luftleitg rund 90Grad PPs-el DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.88,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.84 Sattelstutzen Luftleitg rund 90Grad PPs-el DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.89,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.84 Sattelstutzen Luftleitg rund 90Grad PPs-el DN160 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.90,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.84 Sattelstutzen Luftleitg rund 90Grad PPs-el DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.91,"8,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.84 Sattelstutzen Luftleitg rund 90Grad PPs-el DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m,",
2.16.92,"8,000 St *** Bezugsbeschreibung Enddeckel Luftleitg rund PPs-el DN90 H bis 3,5m",,
,STLB-Bau 2023-10 075 3620,,
