Pos-Nr. (Pos- Nr.),"Menge Einheit EUR Enddeckel, für Luftleitung, rund, aus Polypropylen (PPs-el) elektrisch","Einheitspreis in Gesamtpreis in EUR leitfähig,"
,"und Temperatur, Außendurchmesser 90 mm, Verbindung geschweißt, max. über 1000 bis 3000 Pa, min./max. Temperatur der geförderten Luft -15 bis 40 über Gelände/Fußboden bis 3,5 m.","Betriebsüber-/-unterdruck Grad C, Montagehöhe"
2.16.93,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",
2.16.94,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",
2.16.95,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92",5 m.
2.16.96,"Enddeckel Luftleitg rund PPs-el DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, 12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92",
2.16.98,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",
,"12,000 St",
2.16.100,"STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN200 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm,",5 m.
2.16.101,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN200 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 200 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis",5 m.
2.16.102,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN250 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm,",
