Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis EUR
2.16.103,"*** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN250 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 250 mm, Montagehöhe über Gelände/Fußboden","über 3,5 bis 5 m.",
2.16.104,"22,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN280 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm,",,
2.16.105,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.92 Enddeckel Luftleitg rund PPs-el DN280 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 280 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m.",
2.16.106,"*** Bezugsbeschreibung Muffe Luftleitg rund PPs-el DN90 H bis 3,5m STLB-Bau 2023-10 075 3620 Muffe, für Luftleitung, rund, aus Polypropylen (PPs-el) elektrisch DIN 4102-1 B1 (schwerentflammbar), Mindest-Wanddicke gemäß max. Außendurchmesser 90 mm, max. Betriebsüber-/-unterdruck über 1000 bis Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe über","leitfähig, Betriebsdruck 3000 Pa,","Baustoffklasse und Temperatur, min./max. Gelände/Fußboden bis 3,5 m."
2.16.107,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN90 H 3,5-5m STLB-Bau 2023-10 075 3620 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m.",,
2.16.108,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN110 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm,",,
2.16.109,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN110 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 110 mm, Montagehöhe über Gelände/Fußboden über 3,5",bis 5 m.,
2.16.110,"6,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN125 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm,",,
2.16.111,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN125 H 3,5-5m STLB-Bau 2023-10 075 3620 Außendurchmesser 125 mm, Montagehöhe über Gelände/Fußboden über","3,5 bis 5 m.",
2.16.112,"18,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN160 H bis 3,5m STLB-Bau 2023-10 075 3620 Außendurchmesser 160 mm,",,
2.16.113,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 2.16.106 Muffe Luftleitg rund PPs-el DN160 H 3,5-5m",,
