Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis in
2.17,"Luftleitungssystem - Kanäle und Zubehör, Stahl verzinkt",EUR
2.17.1,"*** Bezugsbeschreibung Luftltg rechteckig Stahl verz geschweißt Kanten-L bis 500mm WD 2mm H bis 3,5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627 Luftleitung, rechteckig, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Druckklasse 2 DIN EN aus verzinktem Stahl, geschweißt, Maße DIN EN 1505, Kantenlänge bis 500 mm, Wanddicke 2 mm, Verbindung mit Winkelflansch, mit Schrauben und Dichtung, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen,","1507, schallgedämmt,"
2.17.2,"135,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1 Luftltg rechteckig Stahl verz geschweißt Kanten-L bis 500mm WD 2mm H 3,5-5m Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",Aufhänge-/
2.17.3,"80,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1 Luftltg rechteckig Stahl verz geschweißt Kanten-L bis 500mm WD 2mm H 5-7m Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627",Aufhänge-/
2.17.4,"10,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1 Luftltg rechteckig Stahl verz geschweißt Kanten-L 500-1000mm WD 2mm H bis Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627","3,5m Aufhänge-/"
2.17.5,"15,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1 Luftltg rechteckig Stahl verz geschweißt Kanten-L 500-1000mm WD 2mm H 3,5-5m Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627",Aufhänge-/
2.17.6,"20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1 Luftltg rechteckig Stahl verz geschweißt Kanten-L 500-1000mm WD 2mm H 5-7m Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627 Kantenlänge über 500 bis 1000 mm, Montagehöhe über Gelände/Fußboden über 5 bis","Aufhänge-/ 7 m,"
2.17.7,"35,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1 Luftltg rechteckig Stahl verz geschweißt Kanten-L 1000-1500mm WD 3mm H bis 3,5m Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627",Aufhänge-/
2.17.8,"20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1 Luftltg rechteckig Stahl verz geschweißt Kanten-L 1000-1500mm WD 3mm H 3,5-5m Aufhänge-/ Auflagekonstruktion schallg. STLB-Bau 2023-10 075 3627 Kantenlänge über 1000 bis 1500 mm, Wanddicke 3 mm, Montagehöhe über Gelände/Fußboden über bis 5 m, 35,000","3,5 m2 Wiederholungsbeschreibung zu Bezugs-OZ 2.17.1"
2.17.9,*** Luftltg rechteckig Stahl verz geschweißt Kanten-L 1000-1500mm WD 3mm H 5-7m Aufhänge-/ Auflagekonstruktion schallg.,
