Pos-Nr. Nr.),Menge Einheit EUR,Einheitspreis in Gesamtpreis in EUR
4.1.25,*** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.22 Wärmedämmung Formteil Luftltg DN280 DN 280,
4.1.26,"5,000 St Isolierung von Sonderbauteilen an Lüftungskanälen, rund Isolierung von Sonderbauteilen an Lüftungskanälen, rund Isolierung von Kanalstutzen, rund, an Lüftungskanälen, rund, D bis 200mm Isolierung von Kanalstutzen, rund, als Anschlussstutzen an runden Lüftungskanal (Sattelstutzen), Dämmung aus Mineralwolle, Dämmschichtdicke 30 mm, einlagig, kaschiert Aluminiumfolie ummantelt, einschließlich Anarbeitung der Isolierung und Überkleben der Verbindungsstellen mit selbstklebenden Aluminiumklebeband, Durchmesser des Anschlusskanals 200 mm, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür",mit bis erforderlichen
,"2,000 St Wärmedämmung mit Ummantelung an Luftleitungen, bis 2 m Höhe Wärmedämmung mit zusätzlicher Ummantelung, an Luftleitungen, rechteckig, bis 2m Höhe über OKFB *** Bezugsbeschreibung",in der Technikzentrale
4.1.27,"Wärmedämmung Ummantelung Luftltg Kanten-L bis 500mm Gebäude Mineralwolle Matte D 30mm Mantel Blech Stahl verz STLB-Bau 2023-10 047 5952 Wärmedämmung einschl. Ummantelung DIN 4140 an haus- und betriebstechnischen Anlagen, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge bis 500 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Dämmung aus Mineralwolle DIN EN 14303, als Lamellenmatte, einlagig, Dämmschichtdicke 30 mm, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar),",
4.1.28,"110,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.27 Wärmedämmung Ummantelung Luftltg Kanten-L 500-1000mm Gebäude Mineralwolle Matte D 30mm Blech Stahl verz STLB-Bau 2023-10 047 5952",Mantel
4.1.29,"170,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.27 Wärmedämmung Ummantelung Luftltg Kanten-L 1000-1500mm Gebäude Mineralwolle Matte D 30mm Blech Stahl verz STLB-Bau 2023-10 047 5952 Kantenlänge über 1000 bis 1500 mm,",Mantel
4.1.30,"150,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.27 Wärmedämmung Ummantelung Luftltg Kanten-L 1500-2000mm Gebäude Mineralwolle Matte D 30mm Blech Stahl verz STLB-Bau 2023-10 047 5952 Kantenlänge über 1500 bis 2000 mm,",Mantel
4.1.31,"125,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.27 Wärmedämmung Ummantelung Luftltg Kanten-L ü. 2000mm Gebäude Mineralwolle Matte D 30mm Mantel Blech Stahl verz STLB-Bau 2023-10 047 5952 Kantenlänge über 2000 mm,",
,"20,000 m2 Wärmedämmung mit Ummantelung an Formstücken, bis 2 m Höhe Wärmedämmung mit zusätzlicher Ummantelung, an Luftleitungen, rechteckig, in der bis 2m Höhe über OKFB *** Bezugsbeschreibung Wärmedämmung Ummantelung Formstück Kanten-L bis 500mm Gebäude Mineralwolle Matte D 30mm Blech Stahl verz",Technikzentrale Mantel
4.1.32,"Wärmedämmung einschl. Ummantelung DIN 4140 an haus- und betriebstechnischen Anlagen, an Formstück, rechteckig, Maße DIN EN 1505, Kantenlänge bis 500 mm, Mindestabstände DIN 4140 sind",
