Pos-Nr. Nr.),Menge Einheit Einheitspreis in EUR,Gesamtpreis in EUR
4.1.50,"Ausschnitt aus Wärmedämmung, Mineralwolle, Inspektionsöffn. bis 300/200 Ausschnitt oval an Inspektionsöffnungen im runden Kanal, Abmessungen 200/100 mm bis 300/200 mm",
4.1.51,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.48 Ausschnitt aus Wärmedämmung, Mineralwolle, Inspektionsöffn. bis 400/300 Ausschnitt oval an Inspektionsöffnungen im runden Kanal, Abmessungen größer 300/200 mm bis 400/300 mm",
4.1.52,"10,000 St Ausschnitte aus Blechverkleidung an Lüftungskanälen Ausschnitte aus Blechverkleidung an wärmegedämmten Lüftungskanälen Ausschnitt aus Blechverkleidung, D bis 30mm",
,"Ausschnitt aus Blechverkleidung an gedämmten eckigen oder runden Lüftungskanälen, für Durchführungen von Bauteilen wie Stutzen von Messfühlern, Entwässerungsstutzen, Halterungen, Antriebe, u.ä., Durchmesser bis 30mm, mit Kantenschutzband, einschließlich Anarbeitung, Abdichten, Verkleben der Schnittkanten/ Fugen und Stöße.",Ausschnitte
4.1.53,"20,000 St *** Bezugsbeschreibung Ausschnitt aus Blechverkleidung,",Ausschnitte
4.1.54,"Kanten-L./Durchm. bis 500mm Ausschnitt aus Blechverkleidung an gedämmten eckigen oder runden Lüftungskanälen, für Kanal-T-Stücke, Anschlussstutzen für runde oder eckige Kanäle, u.ä. größte Kantenlänge/ Durchmesser des Ausschnitts bis 500 mm, mit Kantenschutzband, einschließlich Anarbeitung, Abdichten, Verkleben der Schnittkanten/ Fugen und Stöße. 5,000 St",
,"*** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.53 Ausschnitt aus Blechverkleidung, Kanten-L./Durchm. bis 1000mm größte Kantenlänge/ Durchmesser des Ausschnitts größer 500 bis 1.000 mm",
4.1.55,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.1.53 Ausschnitt aus Blechverkleidung, Kanten-L./Durchm. bis 2000mm größte Kantenlänge/ Durchmesser des Ausschnitts größer 1000 bis 2.000 mm",
,"Wärmedämmung ohne Ummantelung DIN 4140 an haus- und betriebstechnischen Anlagen, an Aufdopplung für Halterung, im Gebäude, Dämmung aus Mineralwolle DIN EN 14303, als Lamellenmatte, einlagig, Dämmschichtdicke 30 mm, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN 12667, kaschiert mit Alufolie, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes. 80,000 St Wärmedämmung Ummantelung Aufdopplung Halterung Gebäude Mineralwolle Matte D 30mm Mantel Stahl verz",an
4.1.57,"Blech Wärmedämmung einschl. Ummantelung DIN 4140 an haus- und betriebstechnischen Anlagen, Aufdopplung für Halterung, im Gebäude, Dämmung aus Mineralwolle DIN EN 14303, als Lamellenmatte, einlagig, Dämmschichtdicke 30 mm, Brandverhaltensklasse DIN EN 13501-1 A1 (nichtbrennbar), Wärmeleitfähigkeit 0,040 W/(mK) bei 40 Grad C Mitteltemperatur DIN EN 12667, kaschiert mit Alufolie, Ummantelung aus nichtprofiliertem Blech, Stahl, feuerverzinkt, Blechdicke 1 mm, Überlappungen verschrauben, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes.",
