Pos-Nr. Nr.),Einheit,Gesamtpreis in
4.2,EUR EUR,EUR EUR
4.2.1,"Kältedämmung von Luftleitungen mit flexiblem Elastomerschaum Kältedämmung Dämmschichtdicke 19 mm Kältedämmung Dämmschichtdicke 19 mm Kältedämmung ohne Ummantelung an Luftltg. rechteckig, Dämmung flexibler Elastomerschaum, D 19mm Kältedämmung ohne zusätzliche Ummantelung, an Luftleitungen, rechteckig, Dämmung aus flexiblem Elastomerschaum, im Gebäude, Dämmschichtdicke 19 mm *** Bezugsbeschreibung Kältedämmung Luftltg Kanten-L 500-1000mm Gebäude flexibler Elastomerschaum D 19mm Kältedämmung DIN 4140, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Dämmung aus flexiblem Elastomerschaum DIN EN 14304, Dämmschichtdicke 19 mm, Brandverhaltensklasse DIN EN 13501-1 B- s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Wasserdampfdiffusionswiderstandszahl 10000 DIN EN 13469 und DIN EN 12086, Arbeitshöhe","Kältedämmung von Luftleitungen mit flexiblem Elastomerschaum Kältedämmung Dämmschichtdicke 19 mm Kältedämmung Dämmschichtdicke 19 mm Kältedämmung ohne Ummantelung an Luftltg. rechteckig, Dämmung flexibler Elastomerschaum, D 19mm Kältedämmung ohne zusätzliche Ummantelung, an Luftleitungen, rechteckig, Dämmung aus flexiblem Elastomerschaum, im Gebäude, Dämmschichtdicke 19 mm *** Bezugsbeschreibung Kältedämmung Luftltg Kanten-L 500-1000mm Gebäude flexibler Elastomerschaum D 19mm Kältedämmung DIN 4140, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Dämmung aus flexiblem Elastomerschaum DIN EN 14304, Dämmschichtdicke 19 mm, Brandverhaltensklasse DIN EN 13501-1 B- s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Wasserdampfdiffusionswiderstandszahl 10000 DIN EN 13469 und DIN EN 12086, Arbeitshöhe"
4.2.2,"35,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.1 Kältedämmung Luftltg Kanten-L 1000-1500mm Gebäude flexibler Elastomerschaum D 19mm Kantenlänge über 1000 bis 1500 mm","35,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.1 Kältedämmung Luftltg Kanten-L 1000-1500mm Gebäude flexibler Elastomerschaum D 19mm Kantenlänge über 1000 bis 1500 mm"
4.2.3,"140,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.1 Kältedämmung Luftltg Kanten-L 1500-2000mm Gebäude flexibler Elastomerschaum D 19mm Kantenlänge über 1500 bis 2000 mm","140,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.1 Kältedämmung Luftltg Kanten-L 1500-2000mm Gebäude flexibler Elastomerschaum D 19mm Kantenlänge über 1500 bis 2000 mm"
4.2.4,"60,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.1 Kältedämmung Luftltg Kanten-L ü. 2000mm Gebäude flexibler Elastomerschaum D 19mm Kantenlänge über 2000 mm 90,000 m2","60,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.1 Kältedämmung Luftltg Kanten-L ü. 2000mm Gebäude flexibler Elastomerschaum D 19mm Kantenlänge über 2000 mm 90,000 m2"
4.2.5,"Kältedämmung ohne Ummantelung an Formstück, Dämmung flexibler Elastomerschaum, D 19mm Kältedämmung ohne zusätzliche Ummantelung, an Luftleitungen, rechteckig, Dämmung aus flexiblem Elastomerschaum, im Gebäude, Dämmschichtdicke 19 mm *** Bezugsbeschreibung Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 500-1000 mm Gebäude 0,033W/ (mK) einlagig D 19mm Formstück aus flexiblem Elastomerschaum DIN EN 14304, Kältedämmung DIN 4140 an haus- und betriebstechnischen Anlagen, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0(schwerentflammbar), Wärmeleitfähigkeit 0,033 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, einlagig, Dämmschichtdicke 19 mm, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes. m2","Kältedämmung ohne Ummantelung an Formstück, Dämmung flexibler Elastomerschaum, D 19mm Kältedämmung ohne zusätzliche Ummantelung, an Luftleitungen, rechteckig, Dämmung aus flexiblem Elastomerschaum, im Gebäude, Dämmschichtdicke 19 mm *** Bezugsbeschreibung Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 500-1000 mm Gebäude 0,033W/ (mK) einlagig D 19mm Formstück aus flexiblem Elastomerschaum DIN EN 14304, Kältedämmung DIN 4140 an haus- und betriebstechnischen Anlagen, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0(schwerentflammbar), Wärmeleitfähigkeit 0,033 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, einlagig, Dämmschichtdicke 19 mm, Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür erforderlichen Gerüstes. m2"
4.2.6,"40,000 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.5 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 1000-1500mm Gebäude 0,033W/ (mK) einlagig D 19mm Kantenlänge über 1000 bis 1500 mm 150,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.5 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 1500-2000mm Gebäude","40,000 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.5 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 1000-1500mm Gebäude 0,033W/ (mK) einlagig D 19mm Kantenlänge über 1000 bis 1500 mm 150,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.5 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 1500-2000mm Gebäude"
4.2.7,"0,033W/ (mK) einlagig D 19mm Kantenlänge über 1500 bis 2000 mm 70,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.5 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L ü. 2000mm Gebäude","0,033W/ (mK) einlagig D 19mm Kantenlänge über 1500 bis 2000 mm 70,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.5 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L ü. 2000mm Gebäude"
4.2.8,"0,033W/(mK) einlagig D 19mm Kantenlänge über 2000 mm 145,000 m2 Kältedämmung mit Ummantelung bis 2m Höhe, an Luftltg. rechteckig, Dämmung flexibler Elastomerschaum, D 19mm","0,033W/(mK) einlagig D 19mm Kantenlänge über 2000 mm 145,000 m2 Kältedämmung mit Ummantelung bis 2m Höhe, an Luftltg. rechteckig, Dämmung flexibler Elastomerschaum, D 19mm"
,"Kältedämmung mit zusätzlicher Ummantelung, an Luftleitungen, rechteckig, Dämmung aus flexiblem Elastomerschaum, im Gebäude, Dämmschichtdicke 19 mm, Ummantelung bis 2 m Höhe","Kältedämmung mit zusätzlicher Ummantelung, an Luftleitungen, rechteckig, Dämmung aus flexiblem Elastomerschaum, im Gebäude, Dämmschichtdicke 19 mm, Ummantelung bis 2 m Höhe"
