Pos-Nr.,(Pos-,Menge Einheit Einheitspreis in Gesamtpreis in
4.2.17,,"Kältedämmung ohne Ummantelung, an Luftleitungen, rechteckig, Dämmung aus flexiblem Elastomerschaum, im Gebäude, Dämmschichtdicke 25 mm *** Bezugsbeschreibung Kältedämmung Luftltg Kanten-L 500-1000mm Gebäude flexibler Elastomerschaum D 25mm Kältedämmung DIN 4140, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Dämmung aus flexiblem Elastomerschaum DIN EN 14304, Dämmschichtdicke 25 mm, Brandverhaltensklasse DIN EN 13501-1 B- s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Wasserdampfdiffusionswiderstandszahl 10000 DIN EN 13469 und DIN EN 12086, Arbeitshöhe"
4.2.18,,"35,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.17 Kältedämmung Luftltg Kanten-L 1000-1500mm Gebäude flexibler Elastomerschaum D 25mm Kantenlänge über 1000 bis 1500 mm"
4.2.19,,"200,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.17 Kältedämmung Luftltg Kanten-L 1500-2000mm Gebäude flexibler Elastomerschaum D 25mm Kantenlänge über 1500 bis 2000 mm"
4.2.20,,*** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.17 Kältedämmung Luftltg Kanten-L ü. 2000mm Gebäude flexibler Elastomerschaum D 25mm Kantenlänge über 2000 mm
4.2.21,,"200,000 m2 Kältedämmung ohne Ummantelung an Formstück, Dämmung flexibler Elastomerschaum, D 25mm Kältedämmung ohne Ummantelung an Formstück, Dämmung flexibler Elastomerschaum, D 25mm *** Bezugsbeschreibung Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L bis 500mm Gebäude 0,036W/(mK) einlagig D 25mm Formstück aus flexiblem Elastomerschaum DIN EN 14304, Kältedämmung DIN 4140 an haus- und betriebstechnischen Anlagen, an Luftleitung, rechteckig, Maße DIN EN 1505, Kantenlänge bis 500 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Brandverhaltensklasse DIN EN"
4.2.22,,"5,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.21 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 500-1000mm Gebäude 0,036W/ (mK) einlagig D 25mm Kantenlänge über 500 bis 1000 mm"
4.2.23,,"20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.21 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 1000-1500mm Gebäude 0,036W/ (mK) einlagig D 25mm Kantenlänge über 1000 bis 1500 mm"
4.2.24,,"Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L 1500-2000mm Gebäude 0,036W/ (mK) einlagig D 25mm Kantenlänge über 1500 bis 2000 mm 135,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.21 Formstück flexibler Elastomerschaum Kältedämmung Luftltg Kanten-L ü. 2000mm Gebäude einlagig D 25mm Kantenlänge über 2000 mm"
4.2.25,,"0,036W/(mK) 125,000 m2 Kältedämmung mit Ummantelung bis 2m Höhe, an Luftleitung, rechteckig, Dämmung flexibler Elastomerschaum, D 25mm"
,,"Kältedämmung mit Ummantelung bis 2m Höhe, an Luftleitung, rechteckig, Dämmung flexibler Elastomerschaum, D 25mm"
