Pos-Nr. Nr.),(Pos- Einheit durch technische Einrichtungen und,"Menge Einheitspreis in Gesamtpreis in Behinderung Bauteile, Dämmung aus flexiblem Elastomerschaum"
,"DIN EN 14304, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0 Wärmeleitfähigkeit 0,036 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Wasserdampfdiffusionswiderstandszahl 10000 DIN EN 13469 und DIN EN 12086, Dämmschichtdicke 25 mm, einlagig. größte Seitenlänge 1.000 bis 1.500 mm","EUR EUR (schwerentflammbar),"
4.2.42,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.41 Kältedämmung Rauchschutzklappe Antrieb Gebäude flexibler Elastomerschaum 2.000mm größte Seitenlänge 1.500 bis 2.000 mm","D 25mm, 1.500 bis"
4.2.44,"größte Seitenlänge über 2.000 mm 1,000 St *** Bezugsbeschreibung Ausschnitt flexibler Elastomerschaum Kältedämmung Luftltg Gebäude 0,036W/(mK) Ausschnitt für Dämmung aus flexiblem Elastomerschaum DIN EN 14304, an haus- und betriebstechnischen Anlagen, an Luftleitung, rechteckig, Maße DIN Gebäude, Brandverhaltensklasse DIN EN 13501-1 B-s2, d0 (schwerentflammbar), 0,036 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Gesamt-Dämmschichtdicke Arbeitshöhe des Montageortes bis 3,5 m über der Standfläche des hierfür Gerüstes, mit Kantenschutzband.","D 19mm Kältedämmung DIN 4140 an EN 1505, im Wärmeleitfähigkeit 19 mm, erforderlichen"
4.2.45,"20,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.44 Ausschnitt flexibler Elastomerschaum Kältedämmung Luftltg Gebäude Gesamt-Dämmschichtdicke 25 mm","0,036W/(mK) D 25mm"
4.2.46,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.44 Ausschnitt flexibler Elastomerschaum Kältedämmung Ummantelung Luftltg 19mm Stahl verz D 1mm verschrauben an Kältedämmung einschl. Ummantelung DIN 4140 an","Gebäude 0,036W/(mK) D haus- und betriebstechnischen Anlagen."
4.2.47,"10,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.44 Ausschnitt flexibler Elastomerschaum Kältedämmung Ummantelung 25mm Stahl verz D 1mm verschrauben an Kältedämmung einschl. Ummantelung DIN 4140 an haus- und Dämmschichtdicke","Luftltg Gebäude 0,036W/(mK) D betriebstechnischen Anlagen, Gesamt-"
4.2.48,"5,000 St *** Bezugsbeschreibung Kältedämmung Aufdopplung Flansch Kanten-L bis 500-1000mm Gebäude flexibler Elastomerschaum D 19mm Kältedämmung DIN 4140, an Aufdopplung für Flansch von rechteckigen Luftleitungen, über 500 bis 1000 mm, Mindestabstände DIN 4140 sind nicht eingehalten, im Gebäude, Dämmung flexiblem Elastomerschaum DIN EN 14304, einlagig, Dämmschichtdicke 19 mm, Baustoffklasse DIN 4102-1 B-s2, d0 (schwerentflammbar), Wärmeleitfähigkeit 0,036 W/(mK) bei 0 Grad C Mitteltemperatur DIN EN 12667, Wasserdampfdiffusionswiderstandszahl 10000 DIN EN 13469 und DIN",25 mm. Kantenlänge aus
4.2.49,"60,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.48 Kältedämmung Aufdopplung Flansch Kanten-L 1000-1500mm Gebäude Kantenlänge über 1000 bis 1500 mm",flexibler Elastomerschaum D 19mm
,"340,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.48 Kältedämmung Aufdopplung Flansch Kanten-L 1500-2000mm Gebäude Kantenlänge über 1500 bis 2000 mm",flexibler Elastomerschaum D
4.2.50,"160,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 4.2.48",19mm
