Pos-Nr. (Pos- Nr.),Menge,Einheitspreis,Gesamtpreis in EUR
5.2,"Inbetriebnahme Phase, Interimsbetrieb Phase 1","Inbetriebnahme Phase, Interimsbetrieb Phase 1","Inbetriebnahme Phase, Interimsbetrieb Phase 1"
,"Lufttechnische Inbetriebnahme der Klima-/PFO-Anlagen Lufttechnische Inbetriebnahme der Klimageräte, Prozessfortluftanlagen sowie aller im LV beschriebenen Anlagen, zusätzlich zu den Leistungen aus DIN 18379, bestehend aus: - komplette Inbetriebnahme, Einregulierung und Funktionsprüfung aller elektrotechnischen, steuerungs- und regelungstechnischen Komponenten und Funktionen - Teilnahme an einem separaten Funktionstest aller Versorgungs-, Sicherheits- und Meldesysteme, einschließlich Simulation aller Notfunktionen und Sonderfunktionen wie Netzausfall, Wiederanlauf usw.","Lufttechnische Inbetriebnahme der Klima-/PFO-Anlagen Lufttechnische Inbetriebnahme der Klimageräte, Prozessfortluftanlagen sowie aller im LV beschriebenen Anlagen, zusätzlich zu den Leistungen aus DIN 18379, bestehend aus: - komplette Inbetriebnahme, Einregulierung und Funktionsprüfung aller elektrotechnischen, steuerungs- und regelungstechnischen Komponenten und Funktionen - Teilnahme an einem separaten Funktionstest aller Versorgungs-, Sicherheits- und Meldesysteme, einschließlich Simulation aller Notfunktionen und Sonderfunktionen wie Netzausfall, Wiederanlauf usw.","Lufttechnische Inbetriebnahme der Klima-/PFO-Anlagen Lufttechnische Inbetriebnahme der Klimageräte, Prozessfortluftanlagen sowie aller im LV beschriebenen Anlagen, zusätzlich zu den Leistungen aus DIN 18379, bestehend aus: - komplette Inbetriebnahme, Einregulierung und Funktionsprüfung aller elektrotechnischen, steuerungs- und regelungstechnischen Komponenten und Funktionen - Teilnahme an einem separaten Funktionstest aller Versorgungs-, Sicherheits- und Meldesysteme, einschließlich Simulation aller Notfunktionen und Sonderfunktionen wie Netzausfall, Wiederanlauf usw."
,"Die Inbetriebnahme erfolgt in Zusammenarbeit mit dem Gewerk Gebäudeautomation. Die Inbetriebnahme ist über ein Protokoll zu dokumentieren. Inklusive Personaleinsatz für in Inbetriebnahmemitarbeiter, dieser muss über die gesamte Phase der IBN vor Ort sein.","Die Inbetriebnahme erfolgt in Zusammenarbeit mit dem Gewerk Gebäudeautomation. Die Inbetriebnahme ist über ein Protokoll zu dokumentieren. Inklusive Personaleinsatz für in Inbetriebnahmemitarbeiter, dieser muss über die gesamte Phase der IBN vor Ort sein.","Die Inbetriebnahme erfolgt in Zusammenarbeit mit dem Gewerk Gebäudeautomation. Die Inbetriebnahme ist über ein Protokoll zu dokumentieren. Inklusive Personaleinsatz für in Inbetriebnahmemitarbeiter, dieser muss über die gesamte Phase der IBN vor Ort sein."
,"Inbetriebnahme für die Klimaanlagen Labore 04RLT01 bis 04RLT06 und die Zuluftklimaanlagen 04RLT08 und 04RLT10 mit den zugehörigen Abluftanlagen 04RLT07, 04RLT09 und 04RLT11 sowie den Prozessfortluftanlagen 04RLT14 bis 04RLT18 sowie aller im LV aufgeführten Kleinanlagen als Gesamtinbetriebnahme im Zusammenspiel aller Einzelkomponenten.","Inbetriebnahme für die Klimaanlagen Labore 04RLT01 bis 04RLT06 und die Zuluftklimaanlagen 04RLT08 und 04RLT10 mit den zugehörigen Abluftanlagen 04RLT07, 04RLT09 und 04RLT11 sowie den Prozessfortluftanlagen 04RLT14 bis 04RLT18 sowie aller im LV aufgeführten Kleinanlagen als Gesamtinbetriebnahme im Zusammenspiel aller Einzelkomponenten.","Inbetriebnahme für die Klimaanlagen Labore 04RLT01 bis 04RLT06 und die Zuluftklimaanlagen 04RLT08 und 04RLT10 mit den zugehörigen Abluftanlagen 04RLT07, 04RLT09 und 04RLT11 sowie den Prozessfortluftanlagen 04RLT14 bis 04RLT18 sowie aller im LV aufgeführten Kleinanlagen als Gesamtinbetriebnahme im Zusammenspiel aller Einzelkomponenten."
5.2.2,"1,000 St Lufttechnische Inbetriebnahme Gebläsekonvektoren Lufttechnische Inbetriebnahme von 117 Stück Gebläsekonvektoren, zusätzlich zu den Leistungen aus DIN 18379, bestehend aus: - komplette Inbetriebnahme, Einregulierung und Funktionsprüfung aller elektrotechnischen, steuerungs- und regelungstechnischen Komponenten und Funktionen - Teilnahme an einem separaten Funktionstest aller Versorgungs-, Sicherheits- und Meldesysteme, einschließlich Simulation aller Notfunktionen und Sonderfunktionen wie Netzausfall, Wiederanlauf usw.","1,000 St Lufttechnische Inbetriebnahme Gebläsekonvektoren Lufttechnische Inbetriebnahme von 117 Stück Gebläsekonvektoren, zusätzlich zu den Leistungen aus DIN 18379, bestehend aus: - komplette Inbetriebnahme, Einregulierung und Funktionsprüfung aller elektrotechnischen, steuerungs- und regelungstechnischen Komponenten und Funktionen - Teilnahme an einem separaten Funktionstest aller Versorgungs-, Sicherheits- und Meldesysteme, einschließlich Simulation aller Notfunktionen und Sonderfunktionen wie Netzausfall, Wiederanlauf usw.","1,000 St Lufttechnische Inbetriebnahme Gebläsekonvektoren Lufttechnische Inbetriebnahme von 117 Stück Gebläsekonvektoren, zusätzlich zu den Leistungen aus DIN 18379, bestehend aus: - komplette Inbetriebnahme, Einregulierung und Funktionsprüfung aller elektrotechnischen, steuerungs- und regelungstechnischen Komponenten und Funktionen - Teilnahme an einem separaten Funktionstest aller Versorgungs-, Sicherheits- und Meldesysteme, einschließlich Simulation aller Notfunktionen und Sonderfunktionen wie Netzausfall, Wiederanlauf usw."
,Die Inbetriebnahme erfolgt in Zusammenarbeit mit dem Gewerk Gebäudeautomation. Die,Die Inbetriebnahme erfolgt in Zusammenarbeit mit dem Gewerk Gebäudeautomation. Die,Die Inbetriebnahme erfolgt in Zusammenarbeit mit dem Gewerk Gebäudeautomation. Die
,"Inbetriebnahme ist über ein Protokoll zu dokumentieren. Inklusive Personaleinsatz für in Inbetriebnahmemitarbeiter, dieser muss über die gesamte Phase der IBN vor Ort sein.","Inbetriebnahme ist über ein Protokoll zu dokumentieren. Inklusive Personaleinsatz für in Inbetriebnahmemitarbeiter, dieser muss über die gesamte Phase der IBN vor Ort sein.","Inbetriebnahme ist über ein Protokoll zu dokumentieren. Inklusive Personaleinsatz für in Inbetriebnahmemitarbeiter, dieser muss über die gesamte Phase der IBN vor Ort sein."
,"1,000 St Hinweis Interimsbetrieb Phase 1 Vor der Übergabe an den Nutzer ist kein eigenständiger Betreiber vorhanden, daher ist es erforderlich den Anlagenbetrieb während der Interimsbetriebszeit (IBZ), d.h. nach Abschluss der","1,000 St Hinweis Interimsbetrieb Phase 1 Vor der Übergabe an den Nutzer ist kein eigenständiger Betreiber vorhanden, daher ist es erforderlich den Anlagenbetrieb während der Interimsbetriebszeit (IBZ), d.h. nach Abschluss der","1,000 St Hinweis Interimsbetrieb Phase 1 Vor der Übergabe an den Nutzer ist kein eigenständiger Betreiber vorhanden, daher ist es erforderlich den Anlagenbetrieb während der Interimsbetriebszeit (IBZ), d.h. nach Abschluss der"
,"anlagenspezifischen Einzelinbetriebnahmen von Aggregaten, dem Anlagenerrichter zu übertragen.","anlagenspezifischen Einzelinbetriebnahmen von Aggregaten, dem Anlagenerrichter zu übertragen.","anlagenspezifischen Einzelinbetriebnahmen von Aggregaten, dem Anlagenerrichter zu übertragen."
,"Die Grundvoraussetzung des Interimsbetrieb 1 ist, dass die anlagenspezifischen Inbetriebnahmen erfolgreich abgeschlossen sind. Diese Inbetriebnahmen sind bei den jeweiligen Aggregaten ausgeschrieben oder als zugehörige Serviceleistung zu erbringen. Ziel: Der Betreiber bzw. Errichter der Anlagen soll grundsätzlich die ordnungsgemäße Funktion und die Aufrechterhaltung von vorgegebenen Rahmenbedingungen bzw. Anforderungen der Anlagen sicherstellen. Hierzu sind sämtliche vom Auftragnehmer eingebrachten Systeme und Anlagen dem Auftraggeber funktional uneingeschränkt bis zur VOB-Abnahme vorzuhalten. Dieser Interimsbetrieb geschieht unter Einhaltung aller relevanten Regelwerke und betriebs- und sicherheitsrelevanter Vorgaben.","Die Grundvoraussetzung des Interimsbetrieb 1 ist, dass die anlagenspezifischen Inbetriebnahmen erfolgreich abgeschlossen sind. Diese Inbetriebnahmen sind bei den jeweiligen Aggregaten ausgeschrieben oder als zugehörige Serviceleistung zu erbringen. Ziel: Der Betreiber bzw. Errichter der Anlagen soll grundsätzlich die ordnungsgemäße Funktion und die Aufrechterhaltung von vorgegebenen Rahmenbedingungen bzw. Anforderungen der Anlagen sicherstellen. Hierzu sind sämtliche vom Auftragnehmer eingebrachten Systeme und Anlagen dem Auftraggeber funktional uneingeschränkt bis zur VOB-Abnahme vorzuhalten. Dieser Interimsbetrieb geschieht unter Einhaltung aller relevanten Regelwerke und betriebs- und sicherheitsrelevanter Vorgaben.","Die Grundvoraussetzung des Interimsbetrieb 1 ist, dass die anlagenspezifischen Inbetriebnahmen erfolgreich abgeschlossen sind. Diese Inbetriebnahmen sind bei den jeweiligen Aggregaten ausgeschrieben oder als zugehörige Serviceleistung zu erbringen. Ziel: Der Betreiber bzw. Errichter der Anlagen soll grundsätzlich die ordnungsgemäße Funktion und die Aufrechterhaltung von vorgegebenen Rahmenbedingungen bzw. Anforderungen der Anlagen sicherstellen. Hierzu sind sämtliche vom Auftragnehmer eingebrachten Systeme und Anlagen dem Auftraggeber funktional uneingeschränkt bis zur VOB-Abnahme vorzuhalten. Dieser Interimsbetrieb geschieht unter Einhaltung aller relevanten Regelwerke und betriebs- und sicherheitsrelevanter Vorgaben."
