Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in,Gesamtpreis in
5.4,,,
,"EUR EUR Interimsbetrieb Phase 2, Schwarztest, Sachverständigenabnahmen Hinweis Interimsbetrieb Phase 2 Hinweis Interimsbetrieb Phase 2 Der Interimsbetrieb Phase 2 beginnt mit Ende der gewerkeübergreifende Inbetriebnahme und endet mit der VOB-Abnahme. In diesem Inbetriebnahmeschritt, werden gewerkeübergreifende Tests durchgeführt, welche einen mangel- und störungsfreien Betrieb aller Anlagen voraussetzen. Aus diesem Grund können diese erst nach erfolgreich durchgeführten und protokollierten gewerkeübergreifenden IBN durchgeführt werden. Die Tests umfassen den Schwarztest und die Wirk-Prinzip-Prüfung (siehe nachfolgende","EUR EUR Interimsbetrieb Phase 2, Schwarztest, Sachverständigenabnahmen Hinweis Interimsbetrieb Phase 2 Hinweis Interimsbetrieb Phase 2 Der Interimsbetrieb Phase 2 beginnt mit Ende der gewerkeübergreifende Inbetriebnahme und endet mit der VOB-Abnahme. In diesem Inbetriebnahmeschritt, werden gewerkeübergreifende Tests durchgeführt, welche einen mangel- und störungsfreien Betrieb aller Anlagen voraussetzen. Aus diesem Grund können diese erst nach erfolgreich durchgeführten und protokollierten gewerkeübergreifenden IBN durchgeführt werden. Die Tests umfassen den Schwarztest und die Wirk-Prinzip-Prüfung (siehe nachfolgende","EUR EUR Interimsbetrieb Phase 2, Schwarztest, Sachverständigenabnahmen Hinweis Interimsbetrieb Phase 2 Hinweis Interimsbetrieb Phase 2 Der Interimsbetrieb Phase 2 beginnt mit Ende der gewerkeübergreifende Inbetriebnahme und endet mit der VOB-Abnahme. In diesem Inbetriebnahmeschritt, werden gewerkeübergreifende Tests durchgeführt, welche einen mangel- und störungsfreien Betrieb aller Anlagen voraussetzen. Aus diesem Grund können diese erst nach erfolgreich durchgeführten und protokollierten gewerkeübergreifenden IBN durchgeführt werden. Die Tests umfassen den Schwarztest und die Wirk-Prinzip-Prüfung (siehe nachfolgende"
5.4.1,"Beschreibung). Betreiberfunktion der Klima- und Lüftungsanlagen Betreiberfunktion für die Klimaanlagen 04RLT01 bis 04RLT06, 04RLT07 für den Laborbereich, 04RLT08/09 für Nebenräume, 04RLT10/11 für Besprechungsräume sowie der im Leistungsverzeichnis aufgeführten Kleinanlagen 04RLT12/13 und 01RLT03 vor Abnahme der Anlagen. Klima- und Lüftungsanlagen sollen nach der Inbetriebnahmephase in Betrieb bleiben. Die","Beschreibung). Betreiberfunktion der Klima- und Lüftungsanlagen Betreiberfunktion für die Klimaanlagen 04RLT01 bis 04RLT06, 04RLT07 für den Laborbereich, 04RLT08/09 für Nebenräume, 04RLT10/11 für Besprechungsräume sowie der im Leistungsverzeichnis aufgeführten Kleinanlagen 04RLT12/13 und 01RLT03 vor Abnahme der Anlagen. Klima- und Lüftungsanlagen sollen nach der Inbetriebnahmephase in Betrieb bleiben. Die","Beschreibung). Betreiberfunktion der Klima- und Lüftungsanlagen Betreiberfunktion für die Klimaanlagen 04RLT01 bis 04RLT06, 04RLT07 für den Laborbereich, 04RLT08/09 für Nebenräume, 04RLT10/11 für Besprechungsräume sowie der im Leistungsverzeichnis aufgeführten Kleinanlagen 04RLT12/13 und 01RLT03 vor Abnahme der Anlagen. Klima- und Lüftungsanlagen sollen nach der Inbetriebnahmephase in Betrieb bleiben. Die"
,Die Betreiberfunktion wird durch den AN gewährleistet.,Die Betreiberfunktion wird durch den AN gewährleistet.,Die Betreiberfunktion wird durch den AN gewährleistet.
,Es sind wöchentlich die Zentralgeräte optisch zu begutachten und die Funktionstüchtigkeit zu überprüfen. Das Führen eines Betriebsbuches ist zwingend. Inklusive manueller Nachregulierungen zur Anpassung der Luftmenge und Lufttemperetaur im Rahmen der zyklischen Überwachung.,Es sind wöchentlich die Zentralgeräte optisch zu begutachten und die Funktionstüchtigkeit zu überprüfen. Das Führen eines Betriebsbuches ist zwingend. Inklusive manueller Nachregulierungen zur Anpassung der Luftmenge und Lufttemperetaur im Rahmen der zyklischen Überwachung.,Es sind wöchentlich die Zentralgeräte optisch zu begutachten und die Funktionstüchtigkeit zu überprüfen. Das Führen eines Betriebsbuches ist zwingend. Inklusive manueller Nachregulierungen zur Anpassung der Luftmenge und Lufttemperetaur im Rahmen der zyklischen Überwachung.
,Eine Rufbereitschaft und Kontrollfunktion ist durch den AN auch an Wochend- und Feiertagen mit einzukalkulieren.,Eine Rufbereitschaft und Kontrollfunktion ist durch den AN auch an Wochend- und Feiertagen mit einzukalkulieren.,Eine Rufbereitschaft und Kontrollfunktion ist durch den AN auch an Wochend- und Feiertagen mit einzukalkulieren.
,"Die telefonische Benachrichtigung bei Fehlfunktionen an die Objektüberwachung ist mit einzurechnen, inkl. der notwendigen Koordination mit dem Gewerk Gebäudeautomation und Starkstrom für die Sicherheitsketten.","Die telefonische Benachrichtigung bei Fehlfunktionen an die Objektüberwachung ist mit einzurechnen, inkl. der notwendigen Koordination mit dem Gewerk Gebäudeautomation und Starkstrom für die Sicherheitsketten.","Die telefonische Benachrichtigung bei Fehlfunktionen an die Objektüberwachung ist mit einzurechnen, inkl. der notwendigen Koordination mit dem Gewerk Gebäudeautomation und Starkstrom für die Sicherheitsketten."
,Der Zeitpunkt der Inbetriebnahme und Außerbetriebnahme wird durch die Bauleitung/ Objektüberwachung bestimmt.,Der Zeitpunkt der Inbetriebnahme und Außerbetriebnahme wird durch die Bauleitung/ Objektüberwachung bestimmt.,Der Zeitpunkt der Inbetriebnahme und Außerbetriebnahme wird durch die Bauleitung/ Objektüberwachung bestimmt.
,"Weiterhin ist einzukalkulieren, dass die Abnahme und der Beginn der Gewährleistung durch die Inbetriebnahme bzw. Nutzung um die Dauer der Betreiberfunktion zeitlich nach hinten geschoben wird. Die daraus entstehenden Kosten sind mit in den Einheitspreis einzukalkulieren.","Weiterhin ist einzukalkulieren, dass die Abnahme und der Beginn der Gewährleistung durch die Inbetriebnahme bzw. Nutzung um die Dauer der Betreiberfunktion zeitlich nach hinten geschoben wird. Die daraus entstehenden Kosten sind mit in den Einheitspreis einzukalkulieren.","Weiterhin ist einzukalkulieren, dass die Abnahme und der Beginn der Gewährleistung durch die Inbetriebnahme bzw. Nutzung um die Dauer der Betreiberfunktion zeitlich nach hinten geschoben wird. Die daraus entstehenden Kosten sind mit in den Einheitspreis einzukalkulieren."
5.4.2,"36,000 Wo Betreiberfunktion der Prozessfortluftanlagen Betreiberfunktion der Prozessfortluftanlagen 04RLT14 bis 04RLT18 sowie 00RLT01 vor Abnahme der Anlagen.","36,000 Wo Betreiberfunktion der Prozessfortluftanlagen Betreiberfunktion der Prozessfortluftanlagen 04RLT14 bis 04RLT18 sowie 00RLT01 vor Abnahme der Anlagen.","36,000 Wo Betreiberfunktion der Prozessfortluftanlagen Betreiberfunktion der Prozessfortluftanlagen 04RLT14 bis 04RLT18 sowie 00RLT01 vor Abnahme der Anlagen."
