Pos-Nr. Nr.),(Pos-,Menge Einheit Sachkundiges Bedienpersonal der Anlagen ist für die,Einheitspreis in EUR,Gesamtpreis in EUR
,,Zeit der Abnahmeprüfungen bereitzustellen,,
5.4.10,,"95,000 h Unterstützung des Prüfsachverständigen - Zeitaufwand Unterstützung des Prüfsachverständigen zur vorgezogenen Abnahme der Brandschutzklappen, baubegleitend inkl. Beistellen von Leitern oder Rollgerüsten Sachkundiges Bedienpersonal der Anlagen ist für die Zeit der Abnahmeprüfungen bereitzustellen",,
,,Ca. 10 Termine je 8 Stunden,,
,,"80,000 h",,
5.4.11,,Mitwirkung Wirkprinzipprüfung,,
,,"Unterstützung des Prüfsachverständigen, bzgl. Zeitaufwand, Vorortbegehung",,
,,Sachkundiges Bedienpersonal der Anlagen ist für die Zeit der Abnahmeprüfungen bereitzustellen,,
,,"10,000 h",,
5.4.12,,Zusätzliche Schulungen des Bedienungs- und Wartungspersonals Die zusätzlich zur Einweisung nach DIN 18379 benötigten Schulungen Anlagen und Bereiche aufgrund der Größe des Bauvorhabens und je Inbetriebnahme in mehreren Stufen erfolgen.,werden für nach Fertigstellung,die einzelnen und
,,"Die Einweisung erfolgt mit Übergabe der folgenden Unterlagen an den Betreiber in 3-facher Ausführung (jeweils für die Anlagenbereiche, an denen die Einweisung und Schulung erfolgen soll) - Abnahmeprotokoll, Prüf- und Genehmigungsunterlagen einschl. Protokolle über durchgeführte Messungen, - Bedienungs- Betriebs- und Wartungsanweisungen einsch. Hinweis zum Eingriff im Störfall, - Anlagen- und Funktionsbeschreibung der entspr. Anlage mit Datenblättern, Übersichtsplänen und Schemen,",,
,,"40,000 h",,
