Pos-Nr. Nr.),(Pos-,Menge Einheit,Einheitspreis in,Gesamtpreis in
5.5,,,,
5.5.1,,"EUR EUR Informationsaustausch RLT - weitere Gewerke Informationsaustausch STLB-Bau 2023-10 040 3108 Information zur Gebäudeautomation vom AN der MSR entgegennehmen und fortschreiben, die Informationen werden mit den AN der beteiligten Leistungsbereiche abgestimmt und bearbeitet nach Bauzeitenplan, die Informationsunterlagen bestehen aus Grund- und Verfahrensfließschemata, Funktionsbeschreibungen und Funktionslisten DIN EN ISO 16484-3 sowie einem Übersichtsplan mit Standorten für Bedienung, Informationsschwerpunkte, Schaltschränke und Stationen der Automations- und Managementebene, für raumlufttechnische Anlagen, die Abstimmung umfasst Benutzeradress-System, Anlagenkonfiguration der Gebäudeautomation, betriebstechnische Daten und Funktionen der Anlagenbauteile, Messorte und Anordnung der Messwertgeber, Funktionen, Parameter und Einstellwerte, Bildschirmdarstellungen, Art und Text der Stör- und Fehlermeldungen, Schnittstellenprotokoll und projektspezifische Daten, Wartungsintervalle, Informationen für die GA-Managementebene, Verknüpfungen/Kopplungen mit Anlagen und Automationsebenen anderer AN,","EUR EUR Informationsaustausch RLT - weitere Gewerke Informationsaustausch STLB-Bau 2023-10 040 3108 Information zur Gebäudeautomation vom AN der MSR entgegennehmen und fortschreiben, die Informationen werden mit den AN der beteiligten Leistungsbereiche abgestimmt und bearbeitet nach Bauzeitenplan, die Informationsunterlagen bestehen aus Grund- und Verfahrensfließschemata, Funktionsbeschreibungen und Funktionslisten DIN EN ISO 16484-3 sowie einem Übersichtsplan mit Standorten für Bedienung, Informationsschwerpunkte, Schaltschränke und Stationen der Automations- und Managementebene, für raumlufttechnische Anlagen, die Abstimmung umfasst Benutzeradress-System, Anlagenkonfiguration der Gebäudeautomation, betriebstechnische Daten und Funktionen der Anlagenbauteile, Messorte und Anordnung der Messwertgeber, Funktionen, Parameter und Einstellwerte, Bildschirmdarstellungen, Art und Text der Stör- und Fehlermeldungen, Schnittstellenprotokoll und projektspezifische Daten, Wartungsintervalle, Informationen für die GA-Managementebene, Verknüpfungen/Kopplungen mit Anlagen und Automationsebenen anderer AN,","EUR EUR Informationsaustausch RLT - weitere Gewerke Informationsaustausch STLB-Bau 2023-10 040 3108 Information zur Gebäudeautomation vom AN der MSR entgegennehmen und fortschreiben, die Informationen werden mit den AN der beteiligten Leistungsbereiche abgestimmt und bearbeitet nach Bauzeitenplan, die Informationsunterlagen bestehen aus Grund- und Verfahrensfließschemata, Funktionsbeschreibungen und Funktionslisten DIN EN ISO 16484-3 sowie einem Übersichtsplan mit Standorten für Bedienung, Informationsschwerpunkte, Schaltschränke und Stationen der Automations- und Managementebene, für raumlufttechnische Anlagen, die Abstimmung umfasst Benutzeradress-System, Anlagenkonfiguration der Gebäudeautomation, betriebstechnische Daten und Funktionen der Anlagenbauteile, Messorte und Anordnung der Messwertgeber, Funktionen, Parameter und Einstellwerte, Bildschirmdarstellungen, Art und Text der Stör- und Fehlermeldungen, Schnittstellenprotokoll und projektspezifische Daten, Wartungsintervalle, Informationen für die GA-Managementebene, Verknüpfungen/Kopplungen mit Anlagen und Automationsebenen anderer AN,"
5.5.2,,"1,000 St Informationsaustausch STLB-Bau 2023-10 040 3108 Information zur Gebäudeautomation an den AN der MSR übergeben und fortschreiben, die Informationen werden mit den AN der beteiligten Leistungsbereiche abgestimmt und bearbeitet nach Bauzeitenplan, die Informationsunterlagen bestehen aus Grund- und Verfahrensfließschemata, Funktionsbeschreibungen und Funktionslisten DIN EN ISO 16484-3 sowie einem Übersichtsplan mit Standorten für Bedienung, Informationsschwerpunkte, Schaltschränke und Stationen der Automations- und Managementebene, für raumlufttechnische Anlagen, die Abstimmung umfasst Benutzeradress-System, Anlagenkonfiguration der Gebäudeautomation, betriebstechnische Daten und Funktionen der Anlagenbauteile, Messorte und Anordnung der Messwertgeber, Funktionen, Parameter und Einstellwerte, Bildschirmdarstellungen, Art und Text der Stör- und Fehlermeldungen, Schnittstellenprotokoll und projektspezifische Daten, Wartungsintervalle, Informationen für die GA-Managementebene, Verknüpfungen/Kopplungen mit Anlagen und Automationsebenen anderer AN, Anschlussbedingungen von AN anderer Gewerke, die Abstimmung wird von allen Beteiligten bestätigt.","1,000 St Informationsaustausch STLB-Bau 2023-10 040 3108 Information zur Gebäudeautomation an den AN der MSR übergeben und fortschreiben, die Informationen werden mit den AN der beteiligten Leistungsbereiche abgestimmt und bearbeitet nach Bauzeitenplan, die Informationsunterlagen bestehen aus Grund- und Verfahrensfließschemata, Funktionsbeschreibungen und Funktionslisten DIN EN ISO 16484-3 sowie einem Übersichtsplan mit Standorten für Bedienung, Informationsschwerpunkte, Schaltschränke und Stationen der Automations- und Managementebene, für raumlufttechnische Anlagen, die Abstimmung umfasst Benutzeradress-System, Anlagenkonfiguration der Gebäudeautomation, betriebstechnische Daten und Funktionen der Anlagenbauteile, Messorte und Anordnung der Messwertgeber, Funktionen, Parameter und Einstellwerte, Bildschirmdarstellungen, Art und Text der Stör- und Fehlermeldungen, Schnittstellenprotokoll und projektspezifische Daten, Wartungsintervalle, Informationen für die GA-Managementebene, Verknüpfungen/Kopplungen mit Anlagen und Automationsebenen anderer AN, Anschlussbedingungen von AN anderer Gewerke, die Abstimmung wird von allen Beteiligten bestätigt.","1,000 St Informationsaustausch STLB-Bau 2023-10 040 3108 Information zur Gebäudeautomation an den AN der MSR übergeben und fortschreiben, die Informationen werden mit den AN der beteiligten Leistungsbereiche abgestimmt und bearbeitet nach Bauzeitenplan, die Informationsunterlagen bestehen aus Grund- und Verfahrensfließschemata, Funktionsbeschreibungen und Funktionslisten DIN EN ISO 16484-3 sowie einem Übersichtsplan mit Standorten für Bedienung, Informationsschwerpunkte, Schaltschränke und Stationen der Automations- und Managementebene, für raumlufttechnische Anlagen, die Abstimmung umfasst Benutzeradress-System, Anlagenkonfiguration der Gebäudeautomation, betriebstechnische Daten und Funktionen der Anlagenbauteile, Messorte und Anordnung der Messwertgeber, Funktionen, Parameter und Einstellwerte, Bildschirmdarstellungen, Art und Text der Stör- und Fehlermeldungen, Schnittstellenprotokoll und projektspezifische Daten, Wartungsintervalle, Informationen für die GA-Managementebene, Verknüpfungen/Kopplungen mit Anlagen und Automationsebenen anderer AN, Anschlussbedingungen von AN anderer Gewerke, die Abstimmung wird von allen Beteiligten bestätigt."
5.5.3,,"1,000 St Koordination der Regelung",,
,,Koordinationspflicht Die Inbetriebnahme ist mit dem Auftragnehmer für Gebäudeautomation terminlich und technisch zu koordinieren.,Koordinationspflicht Die Inbetriebnahme ist mit dem Auftragnehmer für Gebäudeautomation terminlich und technisch zu koordinieren.,Koordinationspflicht Die Inbetriebnahme ist mit dem Auftragnehmer für Gebäudeautomation terminlich und technisch zu koordinieren.
,,Weiterhin ist die Positionierung und Installation aller Fühler und sonstiger Feldgeräte mit dem Auftragnehmer Gebäudeautomation zu koordinieren und festzulegen.,Weiterhin ist die Positionierung und Installation aller Fühler und sonstiger Feldgeräte mit dem Auftragnehmer Gebäudeautomation zu koordinieren und festzulegen.,Weiterhin ist die Positionierung und Installation aller Fühler und sonstiger Feldgeräte mit dem Auftragnehmer Gebäudeautomation zu koordinieren und festzulegen.
,,10 Arbeitstage nach Bestätigung der Montage- und Werksplanung sind mindestens nachfolgend aufgelistete Unterlagen beizubringen. Diese sind selbstständig dem Gewerk Gebäudeautomation zur Verfügung zu stellen:,10 Arbeitstage nach Bestätigung der Montage- und Werksplanung sind mindestens nachfolgend aufgelistete Unterlagen beizubringen. Diese sind selbstständig dem Gewerk Gebäudeautomation zur Verfügung zu stellen:,10 Arbeitstage nach Bestätigung der Montage- und Werksplanung sind mindestens nachfolgend aufgelistete Unterlagen beizubringen. Diese sind selbstständig dem Gewerk Gebäudeautomation zur Verfügung zu stellen:
,,"- Datenblatt und Klemmenplan Differenzdrucksensor für Filter in RLT-Geräten - Datenblatt und Klemmenplan Volumenstrommessung über die Ventilatoren der RLT-Geräte - Regelbeschreibung Sensorik im RLT-Gerät als Ist-Wert WRG über KVS - Datenpunktlisten/ MSR-Schemen Schnittstellenspezifikation (EDE Liste) WRG über KVS - Schaltplan und Anlagenbeschreibung Befeuchter - Typ Frequenzumrichter, Schnittstellenspezifikation (EDE Liste, Hardware), Klemmenplan Internverkabelung (Reparaturschalter, Frequenzumrichter, Ventilatormotor) für Frequenzumrichter und Reparaturschalter an den RLT-Geräten - Typ Frequenzumrichter, Schnittstellenspezifikation (EDE Liste, Hardware), Klemmenplan Internverkabelung (Reparaturschalter, Frequenzumrichter, Ventilatormotor) für Frequenzumrichter an den PFO-Ventilatoren - Datenblatt und Klemmenplan Brandschutzklappen/ Rauchschutzklappen/ Brandschutztellerventile - Datenblatt und Klemmenplan Differenzdrucksensor über KVS-Register (Abluft), Lieferumfang Gewerk GA - Datenblatt und Klemmenplan Umluftkühlgeräte GA geregelt - Datenblatt und Klemmenplan Volumenstromregler in den Lüftungskanälen","- Datenblatt und Klemmenplan Differenzdrucksensor für Filter in RLT-Geräten - Datenblatt und Klemmenplan Volumenstrommessung über die Ventilatoren der RLT-Geräte - Regelbeschreibung Sensorik im RLT-Gerät als Ist-Wert WRG über KVS - Datenpunktlisten/ MSR-Schemen Schnittstellenspezifikation (EDE Liste) WRG über KVS - Schaltplan und Anlagenbeschreibung Befeuchter - Typ Frequenzumrichter, Schnittstellenspezifikation (EDE Liste, Hardware), Klemmenplan Internverkabelung (Reparaturschalter, Frequenzumrichter, Ventilatormotor) für Frequenzumrichter und Reparaturschalter an den RLT-Geräten - Typ Frequenzumrichter, Schnittstellenspezifikation (EDE Liste, Hardware), Klemmenplan Internverkabelung (Reparaturschalter, Frequenzumrichter, Ventilatormotor) für Frequenzumrichter an den PFO-Ventilatoren - Datenblatt und Klemmenplan Brandschutzklappen/ Rauchschutzklappen/ Brandschutztellerventile - Datenblatt und Klemmenplan Differenzdrucksensor über KVS-Register (Abluft), Lieferumfang Gewerk GA - Datenblatt und Klemmenplan Umluftkühlgeräte GA geregelt - Datenblatt und Klemmenplan Volumenstromregler in den Lüftungskanälen","- Datenblatt und Klemmenplan Differenzdrucksensor für Filter in RLT-Geräten - Datenblatt und Klemmenplan Volumenstrommessung über die Ventilatoren der RLT-Geräte - Regelbeschreibung Sensorik im RLT-Gerät als Ist-Wert WRG über KVS - Datenpunktlisten/ MSR-Schemen Schnittstellenspezifikation (EDE Liste) WRG über KVS - Schaltplan und Anlagenbeschreibung Befeuchter - Typ Frequenzumrichter, Schnittstellenspezifikation (EDE Liste, Hardware), Klemmenplan Internverkabelung (Reparaturschalter, Frequenzumrichter, Ventilatormotor) für Frequenzumrichter und Reparaturschalter an den RLT-Geräten - Typ Frequenzumrichter, Schnittstellenspezifikation (EDE Liste, Hardware), Klemmenplan Internverkabelung (Reparaturschalter, Frequenzumrichter, Ventilatormotor) für Frequenzumrichter an den PFO-Ventilatoren - Datenblatt und Klemmenplan Brandschutzklappen/ Rauchschutzklappen/ Brandschutztellerventile - Datenblatt und Klemmenplan Differenzdrucksensor über KVS-Register (Abluft), Lieferumfang Gewerk GA - Datenblatt und Klemmenplan Umluftkühlgeräte GA geregelt - Datenblatt und Klemmenplan Volumenstromregler in den Lüftungskanälen"
,,Weiterhin sind vom Anlagenersteller als Vorbereitung für die Planung der MSR-Anlagen folgende Leistungen zu erbringen:,Weiterhin sind vom Anlagenersteller als Vorbereitung für die Planung der MSR-Anlagen folgende Leistungen zu erbringen:,Weiterhin sind vom Anlagenersteller als Vorbereitung für die Planung der MSR-Anlagen folgende Leistungen zu erbringen:
,,"- Erstellung von Funktionsplänen (Schemata) mit allen Regelungskomponenten auf Grundlage der übergebenen Ausführungsplanung - Angabe aller notwendigen Daten wie Luftmengen, Wider- stände, Leistungs-Spannungs- und Stromwerte, Nenn- weiten usw. - Übernahme Adressen und Bezeichnungen, die vom","- Erstellung von Funktionsplänen (Schemata) mit allen Regelungskomponenten auf Grundlage der übergebenen Ausführungsplanung - Angabe aller notwendigen Daten wie Luftmengen, Wider- stände, Leistungs-Spannungs- und Stromwerte, Nenn- weiten usw. - Übernahme Adressen und Bezeichnungen, die vom","- Erstellung von Funktionsplänen (Schemata) mit allen Regelungskomponenten auf Grundlage der übergebenen Ausführungsplanung - Angabe aller notwendigen Daten wie Luftmengen, Wider- stände, Leistungs-Spannungs- und Stromwerte, Nenn- weiten usw. - Übernahme Adressen und Bezeichnungen, die vom"
