Pos-Nr. Nr.),(Pos-,Einheit,Einheitspreis in,Gesamtpreis in EUR
6.2.7,,"EUR 1,000 St Mobilkran, max. Hebelast 1.300 kg Mobilkran, max. Hebelast 1.300 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren. Klimaanlagenmodule für folgende Anlagen:","EUR 1,000 St Mobilkran, max. Hebelast 1.300 kg Mobilkran, max. Hebelast 1.300 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren. Klimaanlagenmodule für folgende Anlagen:","EUR 1,000 St Mobilkran, max. Hebelast 1.300 kg Mobilkran, max. Hebelast 1.300 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren. Klimaanlagenmodule für folgende Anlagen:"
,,"Transport - Zuluftanlagen Labor 04RLT01 bis 04RLT04 - Zu-/ Abluftanlage Nebenräume 04RLT08/09 - Außenluftansaugkammer, Transportgewicht je Modul maximal ca. 1.300 kg, auf Absetzplattform mit den Abmessungen B x L = 5 m x 5 m. und vertikale Förderwege von der Absetzplattform zur Bereitstellungsfläche","Transport - Zuluftanlagen Labor 04RLT01 bis 04RLT04 - Zu-/ Abluftanlage Nebenräume 04RLT08/09 - Außenluftansaugkammer, Transportgewicht je Modul maximal ca. 1.300 kg, auf Absetzplattform mit den Abmessungen B x L = 5 m x 5 m. und vertikale Förderwege von der Absetzplattform zur Bereitstellungsfläche","Transport - Zuluftanlagen Labor 04RLT01 bis 04RLT04 - Zu-/ Abluftanlage Nebenräume 04RLT08/09 - Außenluftansaugkammer, Transportgewicht je Modul maximal ca. 1.300 kg, auf Absetzplattform mit den Abmessungen B x L = 5 m x 5 m. und vertikale Förderwege von der Absetzplattform zur Bereitstellungsfläche"
,,"Horizontale Mobilkran horizontaler Förderweg ca. 4 m, von Mitte Absetzplattform zu Dachkante, horizontaler Förderweg ca. 30 m, von Mitte Absetzplattform zu Bereitstellungsfläche Mobilkran, Höhe Attika Absetzplattform ca. 20 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Attika 4.OG ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Absetzplattform ca. 19 m, über Geländeniveau Bereitstellungsfläche Mobilkran.","Horizontale Mobilkran horizontaler Förderweg ca. 4 m, von Mitte Absetzplattform zu Dachkante, horizontaler Förderweg ca. 30 m, von Mitte Absetzplattform zu Bereitstellungsfläche Mobilkran, Höhe Attika Absetzplattform ca. 20 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Attika 4.OG ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Absetzplattform ca. 19 m, über Geländeniveau Bereitstellungsfläche Mobilkran.","Horizontale Mobilkran horizontaler Förderweg ca. 4 m, von Mitte Absetzplattform zu Dachkante, horizontaler Förderweg ca. 30 m, von Mitte Absetzplattform zu Bereitstellungsfläche Mobilkran, Höhe Attika Absetzplattform ca. 20 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Attika 4.OG ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Absetzplattform ca. 19 m, über Geländeniveau Bereitstellungsfläche Mobilkran."
6.2.8,,"1,000 St Mobilkran, max. Hebelast 1.400 kg Mobilkran, max. Hebelast 1.400 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren. Aufstellung/Montage Fortlufttürme, Transportgewicht max. ca. 1.400 kg, 8 Stk, auf Dach.","1,000 St Mobilkran, max. Hebelast 1.400 kg Mobilkran, max. Hebelast 1.400 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren. Aufstellung/Montage Fortlufttürme, Transportgewicht max. ca. 1.400 kg, 8 Stk, auf Dach.","1,000 St Mobilkran, max. Hebelast 1.400 kg Mobilkran, max. Hebelast 1.400 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren. Aufstellung/Montage Fortlufttürme, Transportgewicht max. ca. 1.400 kg, 8 Stk, auf Dach."
,,"Horizontale und vertikale Förderwege von der Aufstellfläche zur Bereitstellungsfläche Mobilkran horizontaler Förderweg ca. 10 m, vom Standort Fortluftturm zu Dachkante, horizontaler Förderweg ca. 25 m, von Standort Fortluftturm zu Bereitstellungsfläche Mobilkran, Höhe Dach ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran. Höhe Fortluftturm ca. 30 m, über Geländeniveau Bereitstellungsfläche Mobilkran.","Horizontale und vertikale Förderwege von der Aufstellfläche zur Bereitstellungsfläche Mobilkran horizontaler Förderweg ca. 10 m, vom Standort Fortluftturm zu Dachkante, horizontaler Förderweg ca. 25 m, von Standort Fortluftturm zu Bereitstellungsfläche Mobilkran, Höhe Dach ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran. Höhe Fortluftturm ca. 30 m, über Geländeniveau Bereitstellungsfläche Mobilkran.","Horizontale und vertikale Förderwege von der Aufstellfläche zur Bereitstellungsfläche Mobilkran horizontaler Förderweg ca. 10 m, vom Standort Fortluftturm zu Dachkante, horizontaler Förderweg ca. 25 m, von Standort Fortluftturm zu Bereitstellungsfläche Mobilkran, Höhe Dach ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran. Höhe Fortluftturm ca. 30 m, über Geländeniveau Bereitstellungsfläche Mobilkran."
6.2.9,,"1,000 St Mobilkran, max. Hebelast 2.200 kg Mobilkran, max. Hebelast 2.200 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren.","1,000 St Mobilkran, max. Hebelast 2.200 kg Mobilkran, max. Hebelast 2.200 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren.","1,000 St Mobilkran, max. Hebelast 2.200 kg Mobilkran, max. Hebelast 2.200 kg, auf Baustelle anliefern und bereitstellen inkl. Abtransport, Kalkulation je Einsatz, inkl. erforderliche Anschlagmittel. Die Förderwege sowie die örtliche, terminliche Koordination des Kraneinsatzes sind in die Position Mobilkran einzukalkulieren."
,,"Transport Klimaanlagenmodule für folgende Anlagen: - Zuluftanlagen Labor 04RLT05 bis 04RLT06 - Abluftanlage Labor 04RLT07 - Zu-/ Abluftanlage Besprechung 04RLT10/11 - Hydraulikstationen 04WRG01 und 04WRG02 - Ventilatoren und WRG-Einheiten PFO S/L 04RLT14a und 04RLT14b, Transportgewicht je Modul maximal ca. 2.200 kg, auf Absetzplattform mit den Abmessungen B x L = 3,5 m x 4,0 m.","Transport Klimaanlagenmodule für folgende Anlagen: - Zuluftanlagen Labor 04RLT05 bis 04RLT06 - Abluftanlage Labor 04RLT07 - Zu-/ Abluftanlage Besprechung 04RLT10/11 - Hydraulikstationen 04WRG01 und 04WRG02 - Ventilatoren und WRG-Einheiten PFO S/L 04RLT14a und 04RLT14b, Transportgewicht je Modul maximal ca. 2.200 kg, auf Absetzplattform mit den Abmessungen B x L = 3,5 m x 4,0 m.","Transport Klimaanlagenmodule für folgende Anlagen: - Zuluftanlagen Labor 04RLT05 bis 04RLT06 - Abluftanlage Labor 04RLT07 - Zu-/ Abluftanlage Besprechung 04RLT10/11 - Hydraulikstationen 04WRG01 und 04WRG02 - Ventilatoren und WRG-Einheiten PFO S/L 04RLT14a und 04RLT14b, Transportgewicht je Modul maximal ca. 2.200 kg, auf Absetzplattform mit den Abmessungen B x L = 3,5 m x 4,0 m."
,,"Horizontale und vertikale Förderwege von der Absetzplattform zur Bereitstellungsfläche Mobilkran horizontaler Förderweg ca. 30 m, von Mitte Absetzplattform zu Bereitstellungsfläche Mobilkran, Höhe Attika 4.OG ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Absetzplattform ca. 19 m, über Geländeniveau Bereitstellungsfläche Mobilkran.","Horizontale und vertikale Förderwege von der Absetzplattform zur Bereitstellungsfläche Mobilkran horizontaler Förderweg ca. 30 m, von Mitte Absetzplattform zu Bereitstellungsfläche Mobilkran, Höhe Attika 4.OG ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Absetzplattform ca. 19 m, über Geländeniveau Bereitstellungsfläche Mobilkran.","Horizontale und vertikale Förderwege von der Absetzplattform zur Bereitstellungsfläche Mobilkran horizontaler Förderweg ca. 30 m, von Mitte Absetzplattform zu Bereitstellungsfläche Mobilkran, Höhe Attika 4.OG ca. 26 m, über Geländeniveau Bereitstellungsfläche Mobilkran, Höhe Absetzplattform ca. 19 m, über Geländeniveau Bereitstellungsfläche Mobilkran."
,,"1,000 St Arbeitsbühnen und Hebezeuge Arbeitsbühnen und Hebezeuge","1,000 St Arbeitsbühnen und Hebezeuge Arbeitsbühnen und Hebezeuge","1,000 St Arbeitsbühnen und Hebezeuge Arbeitsbühnen und Hebezeuge"
,,"Bauseits werden keine Montagegerüste für die Ausbaugewerke zur Verfügung gestellt. Jedes Gewerk die notwendigen Montagehilfen selbst beizustellen. Art und Anzahl der Montagegerüste und bestimmt der AN in eigener Verantwortung entsprechend den Montageerfordernissen. bis 2,00 m (Arbeitshöhe bis 3,5 m) sind entsprechend VOB als Nebenleistung in den EP enthalten. Eine gesonderte Vergütung erfolgt hierfür nicht.","Bauseits werden keine Montagegerüste für die Ausbaugewerke zur Verfügung gestellt. Jedes Gewerk die notwendigen Montagehilfen selbst beizustellen. Art und Anzahl der Montagegerüste und bestimmt der AN in eigener Verantwortung entsprechend den Montageerfordernissen. bis 2,00 m (Arbeitshöhe bis 3,5 m) sind entsprechend VOB als Nebenleistung in den EP enthalten. Eine gesonderte Vergütung erfolgt hierfür nicht.","Bauseits werden keine Montagegerüste für die Ausbaugewerke zur Verfügung gestellt. Jedes Gewerk die notwendigen Montagehilfen selbst beizustellen. Art und Anzahl der Montagegerüste und bestimmt der AN in eigener Verantwortung entsprechend den Montageerfordernissen. bis 2,00 m (Arbeitshöhe bis 3,5 m) sind entsprechend VOB als Nebenleistung in den EP enthalten. Eine gesonderte Vergütung erfolgt hierfür nicht."
,,hat Montagehilfen Montagegerüste,hat Montagehilfen Montagegerüste,hat Montagehilfen Montagegerüste
