Pos-Nr. (Pos- Nr.),Menge Einheit Filter Bauart: Kompaktfilter,Einheitspreis in EUR,Gesamtpreis in EUR
,"Filterklasse: ISO ePM1 >= 85% Volumenstrom: 30.600 m³/h Anfangsdruckverlust: max. 65 Pa Auslegungsdruckverlust: max. 115 Pa Enddruckverlust: 165 Pa Filterfläche: min. 202,80 m² Ersatzfilter inklusive Filtertausch und Entsorgung des alten Jalousieklappe Klasse 4 montiert Entkoppelter Anschlussstutzen montiert Schutzgitter Zuluftkanal",Filters,
,Summen-Schallleistungspegel LW(A) Kanalanschluss Außenluft: max. 60dB(A) Kanalanschluss Zuluft: max. 60 dB(A) Gehäuse Außenluft: max. 66 dB(A),,
,Gerätegrundrahmen 300 mm Kranösen für jede Liefereinheit Boden innen abgedichtet Potentialausgleichskabel,,
,"Einbringung der beschriebenen Anlage einschließlich aller aufgeführten Teile, Transportfahrzeug mit anschließender Einbringung in das 4. Obergeschoss über Absetzplattform. Von dort Einbringung bis ca. 40 Meter Entfernung ohne sonstige Erschwernisse, sowie die Aufstellung am endgültigen Aufstellort in im Dachgeschoss.","Treppen, der",Abladen von Mobilkran auf Absätze oder Technikzentrale
1.1.2,"6,000 St Erstinbetriebnahme FU Erstinbetriebnahme und Grundparametrierung der Frequenzumformer vorstehende Zuluft-Klimaanlagen 04RLT01 bis 04RLT06 in Abstimmung Gebäudeautomation. Inklusive separate Anreise im Rahmen der Inbetriebnahmen.",der Ventilatoren mit dem AN der,für
1.1.3,"6,000 St Inbetriebnahme der Befeuchtungsanlage","Anlagenhersteller, mit Anlagenbetrieb Protokollierung der Anlagenhersteller,","Einstellen der gemeinsam mit Werte, Anfertigen/"
1.1.4,"6,000 St Schwingungsgedämpfte Aufstellung Klimageräte Körperschalldämmung und Schwingungsentkopplung für die Geräteaufstellung beschriebenen Zuluftanlagen 04RLT01 bis 04RLT06. Unter den Isolierschichten aus elastischem Material in Mehrschichtanordnung mm, Höhe ca. 50 mm (2 x 25mm). Die Dimensionierung der Unterlegelemente","der zuvor Gerätegrundrahmen sind anzubringen, erfolgt Werkstatt- und",Breite ca. 140 in Abhängigkeit Montageplanung
1.1.5,"6,000 St Lastverteilplatten Klimagerät Zur Lastverteilung stehen die Klimageräte auf Stahlplatten. Es sind dafür Stahlplatten aus Stahl, verzinkt zu verwenden, als Unterlegstreifen unter der Schwingungsentkopplung des ca. 200 mm, Dicke ca. 6 mm, Stahlblechstreifen geschnitten und entgratet, die Verzinkung","Klimagerätes, mit einer erfolgt nach dem Entgraten.",Breite von
1.1.6,"192,000 m Bleche zum Höhenausgleich Fußboden für Aufstellung Klimagerät Zum Höhenausgleich von eventuellen Unebenheiten im Fußboden der Bautoleranzen werden Blechplatten unter den Gerätegrundrahmen der sind dafür Stahlplatten aus Stahl, verzinkt zu verwenden, als Unterlegstreifen Lastverteilplatten des Klimagerätes, mit einer Breite von ca. 200 mm, Teillänge von 0,5 bis 1,0 m, Stahlblechstreifen geschnitten und entgratet, erfolgt nach dem Entgraten.",Lüftungszentrale Klimageräte Dicke ca. die,"im Rahmen der angeordnet. Es unter den 1 bis 2 mm, in Verzinkung"
1.1.7,"38,000 m Gemäß Ausführungsbeschreibung 1: KVS-Hydraulikmodul 04WRG01 Anlage: KV-System 04WRG01",,
