Pos-Nr. (Pos-,Menge Einheit Nennfrequenz: 50 Hz,Einheitspreis,Gesamtpreis in EUR
Nr.),Schutzart: IP55 Tür mit abschließbaren Hebel-/ Doppelhebelverschluss 2 x Schauglas doppelschalig 2 x Beleuchtung 230 V/ IP 65 montiert und verdrahtet 2 x Messnippelset 2 x Ringmessleitung 2 x Flexibler Anschlussstutzen 2 x Frequenzumrichter montiert und abgeschirmt verkabelt 2 x Vorparametrierung Frequenzumrichter 2 x Reparaturschalter montiert und abgeschirmt verkabelt 2 x Kaltleiter 2 x Digitale Volumenstromanzeige + Schalter + Sensor 1 x Zwischenboden 2 x Jalousieklappe Kl. 4 saugseitig 2 x Jalousieklappe Kl. 4 druckseitig Leerteil,in EUR,
,Schalldämpfer Anordnung: Fortluft Volumenstrom: 21.000 m³/h Einfügungsdämpfung: gemäß Geräteschalldaten,,
,Leerteil Baulänge: min. 6100 mm Tür mit Hebel-/,,
,Doppelhebelverschluss WRG-Register Fortluft Angaben nach DIN EN 13053/ EU-Verordnung Temperaturübertragungsgrad: min. 68 % Medium: Wasser-Glykol,,
,"1253/ 2014 Frostschutzanteil: 26 % Material Rohr: Kupfer Material Lamellen: Aluminium Material Sammler: Kupfer Material Rahmen: V2A Entleerung und Entlüftung Messnippelset Kondensatwanne Tropfenabscheider Siphon Hinweis: detaillierte WRG-Daten siehe Ausschreibung ""WRG-System"" Ansaug- / Ausblassektion Kanalanschluss: stirnseitig",,
,Anordnung Baulänge: min. 765 mm Tür mit Hebel-/ Doppelhebelverschluss Jalousieklappe Klasse 2 innen montiert Entkoppelter Anschlußstutzen montiert Summen-Schallleistungspegel LW(A),,
,Kanalanschluss Fortluft: max. 60 dB(A) Gehäuse Abluft: max. 63 dB(A) Gerätegrundrahmen 300 mm Kranösen für jede Liefereinheit,,
,"Einbringung der beschriebenen Anlage einschließlich aller aufgeführten Teile, Transportfahrzeug mit anschließender Einbringung in das 4. Obergeschoss über Absetzplattform. Von dort Einbringung bis ca. 20 Meter Entfernung ohne Treppen, sonstige Erschwernisse, sowie die Aufstellung am endgültigen Aufstellort in der Technikzentrale im Dachgeschoss.",,Abladen von Mobilkran auf Absätze oder
,"1,000 St",,
1.2.2,Erstinbetriebnahme FU Erstinbetriebnahme und Grundparametrierung der Frequenzumformer der Ventilatoren vorstehende Abluftanlage 04RLT07 in Abstimmung mit dem AN der Gebäudeautomation,,für
