Pos-Nr. Nr.),(Pos-,Menge Einheit Schauglas doppelschalig Beleuchtung 230 V/ IP 65 montiert und verdrahtet,Einheitspreis in EUR,Gesamtpreis in EUR
,,Lichtschalter montiert und verdrahtet Messnippelset Reparaturschalter montiert und verkabelt,,
,,Schalldämpfer Anordnung: Fortluft Volumenstrom: 6.000 m³/h Einfügungsdämpfung: gemäß Geräteschalldaten,,
,,Gegenstromwärmetauscher Ansaug- / Ausblassektion Anordnung Kanalanschluss: stirnseitig Baulänge: min. 995 mm Tür mit Hebel-/ Doppelhebelverschluss Jalousieklappe Kl. 2 innen montiert,,
,,Summen-Schallleistungspegel LW(A) Kanalanschluss Abuft: max. 56 dB(A) Kanalanschluss Fortluft: max. 59 dB(A) Gehäuse Abluft: max. 57 dB(A),,
,,Gerätegrundrahmen 300 mm Kranösen für jede Liefereinheit Boden innen abgedichtet Potentialausgleichskabel,,
,,"Einbringung der beschriebenen Anlage einschließlich aller aufgeführten Teile, Abladen von Transportfahrzeug mit anschließender Einbringung in das 4. Obergeschoss über Mobilkran Absetzplattform. Von dort Einbringung bis ca. 40 Meter Entfernung ohne Treppen, Absätze sonstige Erschwernisse, sowie die Aufstellung am endgültigen Aufstellort in der im Dachgeschoss.",,auf oder
,,,,Technikzentrale
1.3.2,,"1,000 St Inbetriebnahme der Befeuchtungsanlage Inbetriebnahme der Befeuchtungsanlage gemeinsam mit dem Sollwerte und anderer interner Parameter, Test der Funktionen dem Anlagenhersteller und dem Gewerk Gebäudeautomation, mit Einweisung des Bedien- und Wartungspersonals gemeinsam mit Übergabe der Dokumentation zur Befeuchteranlage, inklusive Inbetriebnahmen","Anlagenhersteller, mit im Anlagenbetrieb Protokollierung der dem Anlagenhersteller, separate Anreise im","Einstellen der gemeinsam mit Werte, Anfertigen/ Rahmen der"
1.3.3,,"1,000 St Schwingungsgedämpfte Aufstellung Klimagerät Körperschalldämmung und Schwingungsentkopplung für die Geräteaufstellung der zuvor beschriebenen Klimaanlage 04RLT10/11. Unter den Gerätegrundrahmen sind Isolierschichten elastischem Material in Mehrschichtanordnung anzubringen, Breite ca. 140 mm, Höhe ca. x 25mm). Die Dimensionierung der Unterlegelemente erfolgt in Abhängigkeit der Lasten einzelnen Klimablöcke und ist im Rahmen der Werkstatt- und Montageplanung rechnerisch nachzuweisen. Unterlegelemente für die Anlage 04RLT10/11.",,aus 50 mm (2 der
1.3.4,,"1,000 psch Lastverteilplatten Klimagerät Zur Lastverteilung werden die Klimageräte auf Stahlplatten aufgestellt. Es sind dafür Stahlplatten aus Stahl, verzinkt zu verwenden, als unter der Schwingungsentkopplung des Klimagerätes, mit einer Breite von ca. 200 mm, mm, Stahlblechstreifen geschnitten und entgratet, die Verzinkung erfolgt nach dem Entgraten.",,Unterlegstreifen Dicke ca. 6
1.3.5,,"20,000 m Stillstandswartung 04RLT10/11 Stillstandswartung für die Anlagen 04RLT10/11 Bei der Stillstandswartung sind alle drehenden Teile wie Ventilator, Rotor, Jalousieklappe usw. zu bewegen und ggf. nachzuschmieren. Eine Stillstandswartung ist alle drei Monate bis zur Inbetriebnahme durchzuführen. Über die durchgeführten Stillstandswartungen ist ein fortlaufendes Protokoll zu erstellen. Inklusive separater Anreisen.",,
1.3.6,,"7,000 St Kulissenschalldämpfer rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Kulissenschalldämpfer, rechteckig,",,
