Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis in EUR,
1.5,Außenluftansaugung,,
1.5.1,Gemäß Ausführungsbeschreibung 1: Außenluftansaugkammer Außenluftansaugkammer für die Zuluftanlagen,,
,"04RLT01 bis 04RLT06, 04RLT08 und 04RLT10 Die Aufstellung der Außenluftkammer erfolgt im Raum 04.102 Lüftungszentrale im 4.OG. Die Hinweise im Vortext zu Transport und Einbringung der Bauteile in die Lüftungzentrale sind zu beachten.","04RLT01 bis 04RLT06, 04RLT08 und 04RLT10 Die Aufstellung der Außenluftkammer erfolgt im Raum 04.102 Lüftungszentrale im 4.OG. Die Hinweise im Vortext zu Transport und Einbringung der Bauteile in die Lüftungzentrale sind zu beachten.","04RLT01 bis 04RLT06, 04RLT08 und 04RLT10 Die Aufstellung der Außenluftkammer erfolgt im Raum 04.102 Lüftungszentrale im 4.OG. Die Hinweise im Vortext zu Transport und Einbringung der Bauteile in die Lüftungzentrale sind zu beachten."
,Aufbau der Gerätesegmente entsprechend der vorstehenden Ausführungs- und Qualitätsbeschreibung zu den Klimaanlagen.,Aufbau der Gerätesegmente entsprechend der vorstehenden Ausführungs- und Qualitätsbeschreibung zu den Klimaanlagen.,Aufbau der Gerätesegmente entsprechend der vorstehenden Ausführungs- und Qualitätsbeschreibung zu den Klimaanlagen.
,Der Aufbau der Kammer erfolgt mit wärmegedämmten Paneelen analog der Modul-/ Segmentaufbauten der Klimageräte. Die Bodenwannen sind aus Edelstahl.,Der Aufbau der Kammer erfolgt mit wärmegedämmten Paneelen analog der Modul-/ Segmentaufbauten der Klimageräte. Die Bodenwannen sind aus Edelstahl.,Der Aufbau der Kammer erfolgt mit wärmegedämmten Paneelen analog der Modul-/ Segmentaufbauten der Klimageräte. Die Bodenwannen sind aus Edelstahl.
,"Die Kammer schließt an eine Öffnung in der nordwestlichen Außenwand an. Die Brüstungshöhe der Öffnung ist mit 25 cm über den Fertigfußboden angegeben. Die Öffnung ist 5,1 m hoch und 9,75 m breit. Sie wird von einer 25 cm dicken Betonstütze in zwei Teile zu 4,3 m und 5,2 m Breite geteilt. Durch das Gewerk Bau erfolgt eine Dämmung der Laibung, sodass das endgültige lichte Maß der Öffnung kleiner wird. Die Fassadenöffnung wird durch das Gewerk Bau mit einer vorgesetzten Lochblechverkleidung mit","Die Kammer schließt an eine Öffnung in der nordwestlichen Außenwand an. Die Brüstungshöhe der Öffnung ist mit 25 cm über den Fertigfußboden angegeben. Die Öffnung ist 5,1 m hoch und 9,75 m breit. Sie wird von einer 25 cm dicken Betonstütze in zwei Teile zu 4,3 m und 5,2 m Breite geteilt. Durch das Gewerk Bau erfolgt eine Dämmung der Laibung, sodass das endgültige lichte Maß der Öffnung kleiner wird. Die Fassadenöffnung wird durch das Gewerk Bau mit einer vorgesetzten Lochblechverkleidung mit","Die Kammer schließt an eine Öffnung in der nordwestlichen Außenwand an. Die Brüstungshöhe der Öffnung ist mit 25 cm über den Fertigfußboden angegeben. Die Öffnung ist 5,1 m hoch und 9,75 m breit. Sie wird von einer 25 cm dicken Betonstütze in zwei Teile zu 4,3 m und 5,2 m Breite geteilt. Durch das Gewerk Bau erfolgt eine Dämmung der Laibung, sodass das endgültige lichte Maß der Öffnung kleiner wird. Die Fassadenöffnung wird durch das Gewerk Bau mit einer vorgesetzten Lochblechverkleidung mit"
,50% freiem Querschnitt versehen.,50% freiem Querschnitt versehen.,50% freiem Querschnitt versehen.
,Die endgültigen baulichen Maße sind an der Fassade direkt abzunehmen. Daraus resultierende kleinere Maßänderungen sind in die Preise einzukalkulieren.,Die endgültigen baulichen Maße sind an der Fassade direkt abzunehmen. Daraus resultierende kleinere Maßänderungen sind in die Preise einzukalkulieren.,Die endgültigen baulichen Maße sind an der Fassade direkt abzunehmen. Daraus resultierende kleinere Maßänderungen sind in die Preise einzukalkulieren.
,Die Außenluftansaugkammer ist für eine Gesamt-Außenluftmenge von ca. 205.600 m³/h konzipiert.,Die Außenluftansaugkammer ist für eine Gesamt-Außenluftmenge von ca. 205.600 m³/h konzipiert.,Die Außenluftansaugkammer ist für eine Gesamt-Außenluftmenge von ca. 205.600 m³/h konzipiert.
,Konstruktive Beschreibung:,Konstruktive Beschreibung:,Konstruktive Beschreibung:
