Pos-Nr. Nr.),(Pos-,Menge Einheit,LV-Datum: 25.10.2024 Einheitspreis in EUR Gesamtpreis EUR
,,"Wärmetauscher aus nahtlosen Kupferrohren mit aufgepressten Lamellen aus Aluminium, Rahmen stahlverzinkt, Sammelrohre aus Stahl oder Kupfer für Vor- und Rücklauf, isoliert durch das Gehäuse geführt. Durchgangsöffnungen mit Gummirosetten innen und außen abgedichtet. Max. Wassereintrittstemperatur 120°C max. Wasserdruck 16 bar. Lamellenabstand gemäß DIN EN 13053","Wärmetauscher aus nahtlosen Kupferrohren mit aufgepressten Lamellen aus Aluminium, Rahmen stahlverzinkt, Sammelrohre aus Stahl oder Kupfer für Vor- und Rücklauf, isoliert durch das Gehäuse geführt. Durchgangsöffnungen mit Gummirosetten innen und außen abgedichtet. Max. Wassereintrittstemperatur 120°C max. Wasserdruck 16 bar. Lamellenabstand gemäß DIN EN 13053"
,,"Hocheffizienter Gegenstrom-Plattenwämetauscher mit integriertem Bypass und angebautem, stufenlosen Stellmotor für Sommerbetrieb ohne WRG (freie Kühlung) und stufenlosen Leistungsregelung. Rückwärmezahlen von über 90 % möglich. Ausgeführt als hocheffizienter, korrosionsbeständiger Gegenstromplatten Wärmetauscher. Die Zu- und Abluftströme werden durch dünne und parallel im Gegenstromprinzip angeordnete Aluminiumplatten vollständig getrennt. Eine Übertragung von Feuchtigkeit oder Gerüchen ist ausgeschlossen. Isolierte und vollständig entleerbare 3D-Wanne aus Aluminium.","Hocheffizienter Gegenstrom-Plattenwämetauscher mit integriertem Bypass und angebautem, stufenlosen Stellmotor für Sommerbetrieb ohne WRG (freie Kühlung) und stufenlosen Leistungsregelung. Rückwärmezahlen von über 90 % möglich. Ausgeführt als hocheffizienter, korrosionsbeständiger Gegenstromplatten Wärmetauscher. Die Zu- und Abluftströme werden durch dünne und parallel im Gegenstromprinzip angeordnete Aluminiumplatten vollständig getrennt. Eine Übertragung von Feuchtigkeit oder Gerüchen ist ausgeschlossen. Isolierte und vollständig entleerbare 3D-Wanne aus Aluminium."
,,"Jalousieklappe Jalousieklappe aus feuerverzinktem Stahlblechrahmen mit strömungsgünstigen Hohlkörperlamellen und durchgehender Klappenachse. Antrieb, gegenläufig über innenliegende Aluminium-Zahn-Räder oder Gestänge außerhalb des Luftstromes. Lagerzapfen in wartungsfreien Kunststoff oder Messingbuchsen gelagert. Dichtheitsklasse nach EN 1751. Klappenstellung auf der Außenseite der Klappe ersichtlich. Achsverlängerung möglich. Innen liegende Klappen bei wetterfesten Geräten mit ausreichend Platz für Stellmotormontage. Dämmstutzen","Jalousieklappe Jalousieklappe aus feuerverzinktem Stahlblechrahmen mit strömungsgünstigen Hohlkörperlamellen und durchgehender Klappenachse. Antrieb, gegenläufig über innenliegende Aluminium-Zahn-Räder oder Gestänge außerhalb des Luftstromes. Lagerzapfen in wartungsfreien Kunststoff oder Messingbuchsen gelagert. Dichtheitsklasse nach EN 1751. Klappenstellung auf der Außenseite der Klappe ersichtlich. Achsverlängerung möglich. Innen liegende Klappen bei wetterfesten Geräten mit ausreichend Platz für Stellmotormontage. Dämmstutzen"
,,Schallentkoppelter Anschlussrahmen mit dazwischen liegendem geschlossenporigen Zellkautschuk. Der Anschlussrahmen ist mind. aus feuerverzinkten Stahlblech gefertigt und mit einem Kanalanschlussrahmen versehen.,Schallentkoppelter Anschlussrahmen mit dazwischen liegendem geschlossenporigen Zellkautschuk. Der Anschlussrahmen ist mind. aus feuerverzinkten Stahlblech gefertigt und mit einem Kanalanschlussrahmen versehen.
1.6.1,,Gemäß Ausführungsbeschreibung 2: Zu- und Abluft Flachgerät 1.800 m3/h Flachgerät ohne Regelung,
,,Gehäuse für: Innenaufstellung Gehäuseausführung innen: Stahl verzinkt Gehäuseausführung außen: Stahl verzinkt,
,,"Luftmenge Zuluft: 1.800 m³/h Luftgeschwindigkeit Zuluft: 1,4 m/s Geschwindigkeitsklasse Zuluft: V1 Zuluft: SFP 2",
,,"Luftmenge Abluft: 1.800 m³/h Luftgeschwindigkeit Abluft: 1,4 m/s Geschwindigkeitsklasse Abluft: V1 Abluft: SFP 1",
,,ErP Lüftungsanlagen NWLA (Verordnung(EG) 1253/2014): Lüftungsanlage ist konform zur ErP 2018 Gerätetyp: Zwei-Richtungs-Lüftungsanlage Antriebsart: Drehzahlregelung WRG-System: Plattentauscher Eta t WRG (EN 308): 79 % delta ps int: ca. 350 Pa SFPint: 618 W/(m³/s),
,,Anordnung: nebeneinander Luftrichtung: liegend Anforderung: Standardausführung,
,,Zuluft,
,,WRG-Flachbox,
,,"Dämmstutzen Stahl verz ., montiert",
,,"Jalousieklappe Klasse 2 ca. 800 x 350 Klasse 2 EN 1751 außenliegend,",montiert
