Pos-Nr. (Pos- Nr.),Menge,Einheit
1.9,EUR EUR Brandschutztechnische,EUR EUR Brandschutztechnische
,"Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivdecke Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivdecke","Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivdecke Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivdecke"
1.9.1,"*** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz DN100 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, rund, DN 100, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Decke, Nasseinbau, mit Absperrklappenblatt aus mineralischem Baustoff, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN 15650, Bemessungsbetriebsspannung 230 V AC, Schutzart IP 54 DIN EN 60529","*** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz DN100 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, rund, DN 100, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Decke, Nasseinbau, mit Absperrklappenblatt aus mineralischem Baustoff, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN 15650, Bemessungsbetriebsspannung 230 V AC, Schutzart IP 54 DIN EN 60529"
1.9.2,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN160 elektr Antrieb Federrücklauf 230V IP54 DN 160,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN160 elektr Antrieb Federrücklauf 230V IP54 DN 160
1.9.3,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN200 elektr Antrieb Federrücklauf 230V IP54 DN 200,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN200 elektr Antrieb Federrücklauf 230V IP54 DN 200
1.9.4,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN250 elektr Antrieb Federrücklauf 230V IP54 DN 250","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN250 elektr Antrieb Federrücklauf 230V IP54 DN 250"
1.9.5,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN315 elektr Antrieb Federrücklauf 230V IP54 DN 315","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.1 Brandschutzklappe EI90S Gehäuse Stahl verz DN315 elektr Antrieb Federrücklauf 230V IP54 DN 315"
,"1,000 St Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivwand Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivwand","1,000 St Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivwand Brandschutzklappen, Stahl verzinkt, rund, Nasseinbau in Massivwand"
1.9.6,"Brandschutzklappe EI90S Gehäuse Stahl verz DN100 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, rund, DN 100, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Wand, Nasseinbau, mit Absperrklappenblatt aus mineralischem Baustoff, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN 15650, Bemessungsbetriebsspannung 230 V AC, Schutzart IP 54 DIN EN 60529 (VDE 0470-1).","Brandschutzklappe EI90S Gehäuse Stahl verz DN100 elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, rund, DN 100, Luftdichtheitsklasse C DIN EN 1751, Einbau in massive Wand, Nasseinbau, mit Absperrklappenblatt aus mineralischem Baustoff, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN 15650, Bemessungsbetriebsspannung 230 V AC, Schutzart IP 54 DIN EN 60529 (VDE 0470-1)."
1.9.7,"53,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.6","53,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.6"
,"Brandschutzklappe EI90S Gehäuse Stahl verz DN125 elektr Antrieb Federrücklauf 230V IP54 DN 125 24,000 St","Brandschutzklappe EI90S Gehäuse Stahl verz DN125 elektr Antrieb Federrücklauf 230V IP54 DN 125 24,000 St"
1.9.8,"Brandschutzklappe DN 160 17,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.6 Brandschutzklappe EI90S Gehäuse Stahl verz DN180 elektr Antrieb Federrücklauf 230V IP54",Stahl verz DN160
,"DN 180 1,000 St","DN 180 1,000 St"
