Pos-Nr.,Menge Einheit Einheitspreis in Gesamtpreis in
1.9.10,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.6 Brandschutzklappe EI90S Gehäuse Stahl verz DN200 elektr Antrieb Federrücklauf 230V IP54 DN 200
1.9.11,"40,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.6 Brandschutzklappe EI90S Gehäuse Stahl verz DN250 elektr Antrieb Federrücklauf 230V IP54 DN 250"
1.9.12,"Nasseinbau in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz B 250mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, eckig, Nennbreite 250 mm, Nennhöhe 200 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Decke, Nasseinbau, mit Absperrklappenblatt aus mineralischem Baustoff, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN 15650, Bemessungsbetriebsspannung 230 V AC, Schutzart IP 54 DIN EN 60529 (VDE 0470-1)."
1.9.13,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 450mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 400 mm, Nennhöhe 450 mm"
1.9.14,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 600mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 600 mm, Nennhöhe 400 mm"
1.9.15,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 700 mm, Nennhöhe 400 mm"
1.9.16,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 700 mm, Nennhöhe 500 mm"
1.9.17,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 900 mm, Nennhöhe 300 mm"
1.9.18,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 900 mm, Nennhöhe 800 mm"
1.9.19,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 350 mm 1,000 St"
