Pos-Nr. Nr.),(Pos-,Menge Einheit Einheitspreis in EUR Gesamtpreis in EUR
1.9.20,,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 400mm elektr Antrieb Federrücklauf 230V IP54
1.9.21,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1200 mm, Nennhöhe 400 mm"
1.9.22,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 500mm elektr Antrieb Federrücklauf 230V IP54"
1.9.23,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1200 mm, Nennhöhe 800 mm"
1.9.24,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1400mm H 500mm elektr Antrieb Federrücklauf 230V IP54"
1.9.25,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1400mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1400 mm, Nennhöhe 800 mm"
1.9.26,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.12 Brandschutzklappe EI90S Gehäuse Stahl verz B 1500mm H 800mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1500 mm, Nennhöhe 800 mm"
1.9.27,,"Brandschutzklappen, Stahl verzinkt, eckig, Nasseinbau in Massivwand Brandschutzklappen, Stahl verzinkt, eckig, Nasseinbau in Massivwand *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz B 200mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Brandschutzklappe DIN EN 15650, Klassifizierung EI 90 S DIN EN 13501-3, beidseitig geprüft DIN EN 1366-2, für vertikalen und horizontalen Einbau, Achslage waagerecht oder senkrecht, rauchdicht, Gehäuse aus verzinktem Stahl, eckig, Nennbreite 200 mm, Nennhöhe 200 mm, Luftdichtheitsklasse B DIN EN 1751, Einbau in massive Wand, Nasseinbau, mit Absperrklappenblatt aus mineralischem Baustoff, mit thermoelektrischer Auslösung, Nennauslösetemperatur max. 72 Grad C, mit elektrischem Antrieb mit Federrücklauf und integrierten Endlageschaltern, Dauerhaftigkeit der Betriebssicherheit: 10000 Zyklen DIN EN 15650, Bemessungsbetriebsspannung"
1.9.28,,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 250mm H 200mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 200 mm"
1.9.29,,"15,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 250mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 300 mm"
