Pos-Nr. Nr.),(Pos-,Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.9.30,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 250mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 350 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 250mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 350 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 250mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 250 mm, Nennhöhe 350 mm"
1.9.31,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 300mm H 150mm elektr Antrieb Federrücklauf IP54 Nennbreite 300 mm, Nennhöhe 150 mm",230V,
1.9.32,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 300mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 300 mm, Nennhöhe 300 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 300mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 300 mm, Nennhöhe 300 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 300mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 300 mm, Nennhöhe 300 mm"
1.9.33,,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 350mm H 200mm IP54 Nennbreite 350 mm, Nennhöhe 200 mm",elektr Antrieb Federrücklauf,230V
1.9.34,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 200mm elektr Antrieb IP54 Nennbreite 400 mm, Nennhöhe 200 mm",Federrücklauf 230V,Federrücklauf 230V
1.9.35,,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 250mm IP54 Nennbreite 400 mm, Nennhöhe 250 mm",elektr Antrieb Federrücklauf 230V,elektr Antrieb Federrücklauf 230V
1.9.36,,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 300mm elektr Antrieb IP54 Nennbreite 400 mm, Nennhöhe 300 mm",Federrücklauf 230V,Federrücklauf 230V
1.9.37,,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 450mm H 300mm elektr Antrieb Federrücklauf IP54 Nennbreite 450 mm, Nennhöhe 300 mm",230V,230V
1.9.38,,"9,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 500mm H 300mm elektr Antrieb Federrücklauf IP54 Nennbreite 500 mm, Nennhöhe 300 mm",230V,230V
1.9.39,,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 600mm H 300mm elektr Antrieb Federrücklauf IP54 Nennbreite 600 mm, Nennhöhe 300 mm",230V,230V
1.9.40,,"11,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 600mm H 400mm elektr Antrieb Federrücklauf IP54 Nennbreite 600 mm, Nennhöhe 400 mm",230V,230V
