Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR Gesamtpreis in EUR
1.9.41,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 300mm elektr Antrieb Federrücklauf 230V IP54,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 300mm elektr Antrieb Federrücklauf 230V IP54
1.9.42,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 700 mm, Nennhöhe 400 mm","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 700 mm, Nennhöhe 400 mm"
1.9.43,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 700 mm, Nennhöhe 500 mm","4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 700mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 700 mm, Nennhöhe 500 mm"
1.9.44,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 750mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 750 mm, Nennhöhe 400 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 750mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 750 mm, Nennhöhe 400 mm"
1.9.45,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 800mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 800 mm, Nennhöhe 350 mm","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 800mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 800 mm, Nennhöhe 350 mm"
1.9.46,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 800mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 800 mm, Nennhöhe 400 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 800mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 800 mm, Nennhöhe 400 mm"
1.9.47,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 900 mm, Nennhöhe 300 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 900mm H 300mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 900 mm, Nennhöhe 300 mm"
1.9.48,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 350 mm","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 350 mm"
1.9.49,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 400 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1000mm H 400mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1000 mm, Nennhöhe 400 mm"
1.9.50,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1150mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1150 mm, Nennhöhe 350 mm","5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1150mm H 350mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1150 mm, Nennhöhe 350 mm"
1.9.51,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1200 mm, Nennhöhe 500 mm","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.27 Brandschutzklappe EI90S Gehäuse Stahl verz B 1200mm H 500mm elektr Antrieb Federrücklauf 230V IP54 Nennbreite 1200 mm, Nennhöhe 500 mm"
,"2,000 St 1.9.27","2,000 St 1.9.27"
,*** Wiederholungsbeschreibung zu Bezugs-OZ,
