Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in EUR,Gesamtpreis EUR
1.9.60,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Decke D 400mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Dicke 400 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Decke D 400mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Dicke 400 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Decke D 400mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Dicke 400 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,"
1.9.61,"2,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Decke D 400mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Dicke 400 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,","2,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Decke D 400mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Dicke 400 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,","2,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Decke D 400mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Dicke 400 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,"
1.9.62,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 175mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 175 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 175mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 175 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 175mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 175 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,"
1.9.63,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 200mm B 40-60mm U bis 1000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 200 mm,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 200mm B 40-60mm U bis 1000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 200 mm,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 200mm B 40-60mm U bis 1000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 200 mm,"
1.9.64,"12,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U bis 1000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm,","12,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U bis 1000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm,","12,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U bis 1000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm,"
1.9.65,"57,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","57,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","57,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,"
1.9.66,"174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,","174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,","174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 250mm B 40-60mm U 2500-5000mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 250 mm, äußerer Umfang der Fuge über 2500 bis 5000 mm,"
1.9.67,"71,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 300mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 300 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","71,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 300mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 300 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","71,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 300mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 300 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,"
1.9.68,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 350mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 350 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 350mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 350 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.9.57 Schließen Fuge BSK EI90 Gebäude Wand D 350mm B 40-60mm U 1000-2500mm Mörtel MGIII STLB-Bau 2023-10 047 3019 Wand Dicke 350 mm, äußerer Umfang der Fuge über 1000 bis 2500 mm,"
1.9.69,"3,000 m Brandschutzklappen, Stahl verzinkt, eckig, Einbau mit Weichschott in Massivdecke Brandschutzklappen, Stahl verzinkt, eckig, Einbau mit Weichschott in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 250mm elektr Antrieb Federrücklauf 230V IP54","3,000 m Brandschutzklappen, Stahl verzinkt, eckig, Einbau mit Weichschott in Massivdecke Brandschutzklappen, Stahl verzinkt, eckig, Einbau mit Weichschott in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 250mm elektr Antrieb Federrücklauf 230V IP54","3,000 m Brandschutzklappen, Stahl verzinkt, eckig, Einbau mit Weichschott in Massivdecke Brandschutzklappen, Stahl verzinkt, eckig, Einbau mit Weichschott in Massivdecke *** Bezugsbeschreibung Brandschutzklappe EI90S Gehäuse Stahl verz B 400mm H 250mm elektr Antrieb Federrücklauf 230V IP54"
