Pos-Nr. (Pos-,Menge Einheit,Einheitspreis in Gesamtpreis in
Nr.) 1.10.17,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 400/300 Gehäuse Stahl verz Min. Volumenstrom 700 m3/h, max. Volumenstrom 3760 m3/h, Maße",EUR EUR B/H in mm '400/300'
1.10.18,"11,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 400/400 Gehäuse Stahl verz Min. Volumenstrom 1360 m3/h, max. Volumenstrom 4020 m3/h, Maße",B/H in mm '400/400'
1.10.19,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 500/200 Gehäuse Stahl verz Min. Volumenstrom 590 m3/h, max. Volumenstrom 2360 m3/h, Maße",B/H in mm '500/200'
1.10.20,"4,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 500/300 Gehäuse Stahl verz Min. Volumenstrom 890 m3/h, max. Volumenstrom 3570 m3/h, Maße",B/H in mm '500/300'
1.10.21,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 500/400 Gehäuse Stahl verz Min. Volumenstrom 2010 m3/h, max. Volumenstrom 5160 m3/h, Maße",B/H in mm '500/400'
1.10.22,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 600/200 Gehäuse Stahl verz Min. Volumenstrom 2140 m3/h, max. Volumenstrom 2500 m3/h, Maße",B/H in mm '600/200'
1.10.23,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 600/300 Gehäuse Stahl verz Min. Volumenstrom 1600 m3/h, max. Volumenstrom 4500 m3/h, Maße",B/H in mm '600/300'
1.10.24,"12,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 600/400 Gehäuse Stahl verz Min. Volumenstrom 2690 m3/h, max. Volumenstrom 4990 m3/h, Maße B/H",in mm '600/400'
1.10.25,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 700/400 Gehäuse Stahl verz Min. Volumenstrom 2480 m3/h, max. Volumenstrom 6940 m3/h, Maße B/H",in mm '700/400'
1.10.26,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 800/300 Gehäuse Stahl verz Min. Volumenstrom 2010 m3/h, max. Volumenstrom 5240 m3/h, Maße B/H",in mm '800/300'
1.10.27,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 800/400 Gehäuse Stahl verz Min. Volumenstrom 3080 m3/h, max. Volumenstrom 6170 m3/h, Maße B/H",in mm '800/400'
1.10.28,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 1000/400 Gehäuse Stahl verz Min. Volumenstrom 3810 m3/h, max. Volumenstrom 8700 m3/h, Maße B/H",in mm '1000/400'
1.10.29,"ohne Schalldämmung *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 300/100 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 160 m3/h, max. Volumenstrom 665 m3/h, Maße",B/H in mm
