Pos-Nr. (Pos- Nr.),Menge,Einheit Einheitspreis
1.10.30,"'300/100' 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 300/200 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 640 m3/h, max. Volumenstrom 1850 m3/h, Maße B/H in mm '300/200'","'300/100' 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 300/200 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 640 m3/h, max. Volumenstrom 1850 m3/h, Maße B/H in mm '300/200'"
1.10.31,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 300/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 840 m3/h, max. Volumenstrom 1860 m3/h, Maße B/H in mm '300/300'","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 300/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 840 m3/h, max. Volumenstrom 1860 m3/h, Maße B/H in mm '300/300'"
1.10.32,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 400/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 980 m3/h, max. Volumenstrom 3760 m3/h, Maße B/H in mm '400/300'","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 400/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 980 m3/h, max. Volumenstrom 3760 m3/h, Maße B/H in mm '400/300'"
1.10.33,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 500/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 890 m3/h, max. Volumenstrom 3570 m3/h, Maße B/H in mm '500/300'","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.12 Volumenstromregler 500/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 890 m3/h, max. Volumenstrom 3570 m3/h, Maße B/H in mm '500/300'"
1.10.34,"Volumenstromregler 600/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 1600 m3/h, max. Volumenstrom 4500 m3/h, Maße B/H in mm '600/300' 1,000 St rund, ohne Schalldämmung rund, ohne Schalldämmung","Volumenstromregler 600/300 Gehäuse Stahl verz ohne Schalldämmung, min. Volumenstrom 1600 m3/h, max. Volumenstrom 4500 m3/h, Maße B/H in mm '600/300' 1,000 St rund, ohne Schalldämmung rund, ohne Schalldämmung"
1.10.35,"*** Bezugsbeschreibung Volumenstromregler DN100 Gehäuse Stahl verz schnelllaufender Volumenstromregler, mit Hilfsenergie für variable Volumenströme, rund, für lageunabhängigen Einbau, mit Absperrfunktion, Gehäuse aus verzinktem Stahl, mit Einsteckenden, geschraubt/genietet, mit Dichtungsband, Klappenwellen wartungsfrei gelagert, mit elektrischem Stellantrieb, min. Volumenstrom '50' m3/h, max. Volumenstrom '185' m3/h, DN100","*** Bezugsbeschreibung Volumenstromregler DN100 Gehäuse Stahl verz schnelllaufender Volumenstromregler, mit Hilfsenergie für variable Volumenströme, rund, für lageunabhängigen Einbau, mit Absperrfunktion, Gehäuse aus verzinktem Stahl, mit Einsteckenden, geschraubt/genietet, mit Dichtungsband, Klappenwellen wartungsfrei gelagert, mit elektrischem Stellantrieb, min. Volumenstrom '50' m3/h, max. Volumenstrom '185' m3/h, DN100"
1.10.36,"3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.35 Volumenstromregler DN125 Gehäuse Stahl verz Min. Volumenstrom 80 m3/h, max. Volumenstrom 335 m3/h, DN125 4,000 St","3,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.35 Volumenstromregler DN125 Gehäuse Stahl verz Min. Volumenstrom 80 m3/h, max. Volumenstrom 335 m3/h, DN125 4,000 St"
1.10.37,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.35 Volumenstromregler DN160 Gehäuse Stahl verz Min. Volumenstrom 130 m3/h, max. Volumenstrom 530 m3/h, DN160","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.35 Volumenstromregler DN160 Gehäuse Stahl verz Min. Volumenstrom 130 m3/h, max. Volumenstrom 530 m3/h, DN160"
1.10.38,"5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.35 Volumenstromregler DN200 Gehäuse Stahl verz Min. Volumenstrom 180 m3/h, max. Volumenstrom 725 m3/h, DN200 2,000 St Rohrschalldämpfer zur Dämpfung von Strömungsgeräuschen zur Dämpfung von Strömungsgeräuschen von Volumenstromreglern Bezugsbeschreibung rund Druckdifferenz bis 30Pa DN100 rund, Druckdifferenz bis 30 Pa, Luftvolumenstrom in m3/h 50 bis 160, Mind.-","5,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.35 Volumenstromregler DN200 Gehäuse Stahl verz Min. Volumenstrom 180 m3/h, max. Volumenstrom 725 m3/h, DN200 2,000 St Rohrschalldämpfer zur Dämpfung von Strömungsgeräuschen zur Dämpfung von Strömungsgeräuschen von Volumenstromreglern Bezugsbeschreibung rund Druckdifferenz bis 30Pa DN100 rund, Druckdifferenz bis 30 Pa, Luftvolumenstrom in m3/h 50 bis 160, Mind.-"
1.10.39,"Rohrschalldämpfer *** Schalldämpfer Schalldämpfer, Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=8dB, wirksame Schalldämpferlänge in mm 500, DN100, Hygieneanforderungen VDI 6022 Blatt 1, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Außenrohr aus verzinktem Stahl, Innenrohr perforiert, aus verzinktem Stahl, Baustoffklasse DIN 4102-1 A (nichtbrennbar); DIN EN 13501-1 A1, A2 s1 d0","Rohrschalldämpfer *** Schalldämpfer Schalldämpfer, Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=8dB, wirksame Schalldämpferlänge in mm 500, DN100, Hygieneanforderungen VDI 6022 Blatt 1, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Außenrohr aus verzinktem Stahl, Innenrohr perforiert, aus verzinktem Stahl, Baustoffklasse DIN 4102-1 A (nichtbrennbar); DIN EN 13501-1 A1, A2 s1 d0"
