Pos-Nr. Nr.),(Pos-,
1.10.69,"Menge Einheit Einheitspreis in EUR Gesamtpreis in EUR Kulissenschalldämpfer rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/700/300 Druckdifferenz bis 50 Pa, Luftvolumenstrom in m3/h ca. 3570 Mind.-Dämpfung bei den","Menge Einheit Einheitspreis in EUR Gesamtpreis in EUR Kulissenschalldämpfer rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/700/300 Druckdifferenz bis 50 Pa, Luftvolumenstrom in m3/h ca. 3570 Mind.-Dämpfung bei den"
1.10.70,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1500/700/300","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1500/700/300"
1.10.71,"Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=25dB 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/700/400 Luftvolumenstrom in m3/h ca. 4050 Mind.-Dämpfung bei den","Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=25dB 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/700/400 Luftvolumenstrom in m3/h ca. 4050 Mind.-Dämpfung bei den"
1.10.72,"1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1500/700/400 Luftvolumenstrom in m3/h ca. 4030 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=25dB","1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1500/700/400 Luftvolumenstrom in m3/h ca. 4030 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=25dB"
,"2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608","2,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 Kulissenschalldämpfer rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608"
1.10.73,"Einbaumaße L/B/H in mm 1250/750/400 Druckdifferenz bis 50 Pa, Luftvolumenstrom in m3/h ca. 4500 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=21dB wirksame Schalldämpferlänge in mm 1250 4,000 St Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen verz","Einbaumaße L/B/H in mm 1250/750/400 Druckdifferenz bis 50 Pa, Luftvolumenstrom in m3/h ca. 4500 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=21dB wirksame Schalldämpferlänge in mm 1250 4,000 St Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 rechteckig Druckdifferenz bis 50Pa Gehäuse Stahl verz Kulissenrahmen verz"
1.10.74,"*** Kulissenschalldämpfer Stahl STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/800/300 Druckdifferenz bis 50 Pa, Luftvolumenstrom in m3/h ca. 4000 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=18dB wirksame Schalldämpferlänge in mm 1250 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46","*** Kulissenschalldämpfer Stahl STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/800/300 Druckdifferenz bis 50 Pa, Luftvolumenstrom in m3/h ca. 4000 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=18dB wirksame Schalldämpferlänge in mm 1250 1,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46"
1.10.75,Kulissenschalldämpfer rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/800/350 Luftvolumenstrom in m3/h ca. 3900 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=18dB wirksame Schalldämpferlänge in mm 1250 St,Kulissenschalldämpfer rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen Stahl verz STLB-Bau 2023-10 075 3608 Einbaumaße L/B/H in mm 1250/800/350 Luftvolumenstrom in m3/h ca. 3900 Mind.-Dämpfung bei den Oktavmittenfrequenzen 63/125/250/500/1000/2000/4000/8000 Hz in dB 250Hz=18dB wirksame Schalldämpferlänge in mm 1250 St
,Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen,Wiederholungsbeschreibung zu Bezugs-OZ 1.10.46 rechteckig Druckdifferenz bis 30Pa Gehäuse Stahl verz Kulissenrahmen
1.10.76,"1,000 *** Kulissenschalldämpfer","1,000 *** Kulissenschalldämpfer"
