Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in,Gesamtpreis in EUR
1.12.18,"EUR 1.170,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L bis 500mm H 5-7m STLB-Bau 2023-10 075 4888 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","EUR 1.170,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L bis 500mm H 5-7m STLB-Bau 2023-10 075 4888 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","EUR 1.170,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L bis 500mm H 5-7m STLB-Bau 2023-10 075 4888 Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
1.12.19,"360,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm,","360,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm,","360,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm,"
1.12.20,"85,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","85,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","85,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
1.12.21,"510,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","510,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","510,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 500-1000mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 500 bis 1000 mm, Wanddicke 0,9 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
1.12.22,"255,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm,","255,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm,","255,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm,"
1.12.23,"40,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","40,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","40,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
1.12.24,"300,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","300,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","300,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1000-1500mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 1000 bis 1500 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
1.12.25,"415,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm,","415,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm,","415,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H bis 3,5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm,"
1.12.26,"20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","20,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H 3,5-5m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
1.12.27,"160,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","160,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","160,000 m2 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.16 Formstück Luftltg rechteckig Stahl verz gefalzt Kanten-L 1500-2000mm H 5-7m STLB-Bau 2023-10 075 4888 Kantenlänge über 1500 bis 2000 mm, Wanddicke 1,1 mm, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
