Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis EUR,in Gesamtpreis in EUR
1.12.38,"120,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.37 Wand-/Deckendurchführung (Sichtinstallation) bis 500mm größte Kantenlänge größer 250 mm bis 500mm, Wand-/Deckendicke",über 100 bis,350 mm.
1.12.39,"120,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.37 Wand-/Deckendurchführung (Sichtinstallation) bis 1000mm größte Kantenlänge größer 500 mm bis 1.000mm, Wand-/Deckendicke",über 100 bis 350,mm.
1.12.41,"Ausschnittes im Lüftungskanal. *** Bezugsbeschreibung Inspektionsöffnung oval Stahl verz 300/200mm STLB-Bau 2023-10 075 3611 Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Dichtung, Stahl, Maße 300/200 mm, für Einbau in rechteckige Luftleitung, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse ATC3",,aus verzinktem
1.12.42,"80,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.41 Inspektionsöffnung oval Stahl verz 400/200mm STLB-Bau 2023-10 075 3611 Maße 400/200 mm,","oval, Kantenschutz, DIN EN 16798-3.",mit
1.12.43,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.41 Inspektionsöffnung oval Stahl verz 400/300mm STLB-Bau 2023-10 075 3611 Maße 400/300 mm,",,
1.12.44,"60,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.41 Inspektionsöffnung oval Stahl verz 500/400mm STLB-Bau 2023-10 075 3611 Maße 500/400 mm,",,
1.12.45,"40,000 St *** Bezugsbeschreibung Inspektionsöffnung oval Stahl verz isoliert 300/200mm Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und Stahl, Maße 300/200 mm, für Einbau in außen isolierte rechteckige Kantenschutz, mit Schraubverschluss und Rändelmutter, Luftdichtheitsklasse Deckel isoliert analog zum Kanal, Dämmstärke bis 40 mm.","Dichtung, oval, Luftleitung, mit ATC3 DIN","aus verzinktem EN 16798-3,"
1.12.46,"40,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.45 Inspektionsöffnung oval Stahl verz isoliert 400/200mm Maße 400/200 mm 40,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.12.45",,
,"60,000 St Inspektionsöffnung oval Stahl verz diffusionsdicht isoliert 500/400mm Inspektions- und Wartungsöffnung als Deckel mit Einbaurahmen und","Dichtung,",
1.12.48,,"oval,",aus verzinktem
