Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in,Gesamtpreis in
1.13,EUR EUR,EUR EUR,EUR EUR
1.13.1,"Luftleitungssystem - Rohrleitungen und Zubehör *** Bezugsbeschreibung Wickelfalzrohr Stahl verz DN80 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 Wickelfalzrohr aus verzinktem Stahl, Nähte gefalzt, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Maße DIN EN 1506, DN 80, mit Einsteckende, mit Lippendichtung, geschraubt/genietet, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.","Luftleitungssystem - Rohrleitungen und Zubehör *** Bezugsbeschreibung Wickelfalzrohr Stahl verz DN80 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 Wickelfalzrohr aus verzinktem Stahl, Nähte gefalzt, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Maße DIN EN 1506, DN 80, mit Einsteckende, mit Lippendichtung, geschraubt/genietet, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton.","Luftleitungssystem - Rohrleitungen und Zubehör *** Bezugsbeschreibung Wickelfalzrohr Stahl verz DN80 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 Wickelfalzrohr aus verzinktem Stahl, Nähte gefalzt, Luftdichtheitsklasse ATC2 DIN EN 16798-3, Maße DIN EN 1506, DN 80, mit Einsteckende, mit Lippendichtung, geschraubt/genietet, Form- und Verbindungsstücke werden gesondert vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton."
1.13.2,"80,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN80 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","80,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN80 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","80,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN80 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
1.13.3,"20,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 100,","20,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 100,","20,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 100,"
1.13.4,"210,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","210,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","210,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
1.13.5,"395,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 3,5-5m F30 Abhängung DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm.","395,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 3,5-5m F30 Abhängung DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm.","395,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 3,5-5m F30 Abhängung DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm."
1.13.6,"25,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. 2023-10 075 4647 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","25,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. 2023-10 075 4647 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","25,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN100 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. 2023-10 075 4647 100, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
1.13.7,STLB-Bau DN Wickelfalzrohr,Aufhänge-/Auflagekonstruktion,schallg.
1.13.8,"DN 125, 126,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN125 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647","DN 125, 126,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN125 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647","DN 125, 126,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN125 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647"
1.13.9,"242,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN125 -750-2000Pa H 3,5-5m F30 Abhängung DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm.","242,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN125 -750-2000Pa H 3,5-5m F30 Abhängung DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm.","242,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN125 -750-2000Pa H 3,5-5m F30 Abhängung DN 125, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm."
