Pos-Nr. (Pos- Nr.),Menge Einheit,Einheitspreis in EUR,Gesamtpreis in EUR
1.13.11,"STLB-Bau 2023-10 075 4647 DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 7 m, 42,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN160 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg.","STLB-Bau 2023-10 075 4647 DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 7 m, 42,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN160 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg.","STLB-Bau 2023-10 075 4647 DN 125, Montagehöhe über Gelände/Fußboden über 5 bis 7 m, 42,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN160 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion schallg."
1.13.12,"129,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN160 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, m Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Stahl verz DN160 -750-2000Pa H 3,5-5m F30 Abhängung",,
1.13.13,"248,000 *** Wickelfalzrohr DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm.","248,000 *** Wickelfalzrohr DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm.","248,000 *** Wickelfalzrohr DN 160, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke gemäß Zulassung des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Leitungen unter der Stahlbetondecke ca. 1000mm."
1.13.14,"10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN160 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 4647",,schallg.
1.13.15,"43,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 4647",,schallg.
1.13.16,"174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
1.13.17,"343,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H 3,5-5m F30 Abhängung DN 200, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, In diese Position sind die F30 Abhängungen runder Luftleitungen und Formstücke des Herstellers/Normen zu kalkulieren. Maximale Abhanghöhe der betreffenden Stahlbetondecke ca. 1000mm.",,gemäß Zulassung Leitungen unter der
1.13.18,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN200 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 200, Montagehöhe über Gelände/Fußboden über 5 bis 7 m,"
1.13.19,"58,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN250 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 4647 DN 250,",,
,schallg.,schallg.,schallg.
