Pos-Nr. (Pos- Nr.),Menge Einheitspreis in EUR,Einheit,Gesamtpreis in EUR
1.13.21,"174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN250 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647","174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN250 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647","174,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN250 -750-2000Pa H 5-7m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647"
1.13.22,"29,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN280 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 4647 DN 280,",,
1.13.23,"schallg. Wickelfalzrohr Stahl verz DN280 H 3,5-5m",-750-2000Pa,Aufhänge-/Auflagekonstruktion schallg.
1.13.24,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN355 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 4647 DN 355,",,schallg.
1.13.25,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN355 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN355 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,","5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN355 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 355, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,"
1.13.26,"5,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN560 -750-2000Pa H bis 3,5m Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 4647",,schallg.
1.13.27,"DN 560, Wickelfalzrohr Stahl verz H 3,5-5m",DN1120 -750-2000Pa,Aufhänge-/Auflagekonstruktion schallg.
1.13.28,"10,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.1 Wickelfalzrohr Stahl verz DN1250 -750-2000Pa H 3,5-5m Aufhänge-/Auflagekonstruktion schallg. STLB-Bau 2023-10 075 4647 DN 1250, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m,",Gelände/Fußboden über,
1.13.29,"2,000 m *** Bezugsbeschreibung Luftltg rund flexibel Alu DN100 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615 Luftleitung, rund, flexibel, aus Aluminium, Ausführung B DIN EN 13180, Biegeradius größer gleich 1 DN, DN 100, Verbindung mit Einsteckende, Form- und Verbindungsstücke werden vergütet, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Luftdichtheitsklasse ATC3 DIN EN 16798-3, mit Aufhänge-/Auflagekonstruktion, befestigen mit Befestigungsmitteln bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. 160,000 m",,gesondert mit
1.13.30,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN125 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN125 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615,*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN125 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615
