Pos-Nr. (Pos- Nr.),Menge,Einheitspreis in EUR,Gesamtpreis
1.13.31,"80,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN160 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615","80,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN160 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615",EUR
1.13.32,"50,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN200 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615 DN 200,","50,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN200 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615 DN 200,",
1.13.33,"200,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN250 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615 DN 250,","200,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN250 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615 DN 250,",
1.13.34,"200,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN355 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615 DN 355,","200,000 m *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.29 Luftltg rund flexibel Alu DN355 ATC3 Aufhänge-/Auflagekonstruktion STLB-Bau 2023-10 075 3615 DN 355,",
1.13.35,"10,000 m *** Bezugsbeschreibung Elastische Verbindung runde Luftleitg Durchm. bis 100mm STLB-Bau 2023-10 075 3609 Elastisches Verbindungsstück, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Druckklasse 2 DIN 1507, mit Potentialausgleich, für runde Luftleitung, Durchmesser bis 100 mm, mit Anschlussrahmen aus verzinktem Stahl, einschl. Gegenrahmen, Schrauben aus nichtrostendem und Dichtung.","10,000 m *** Bezugsbeschreibung Elastische Verbindung runde Luftleitg Durchm. bis 100mm STLB-Bau 2023-10 075 3609 Elastisches Verbindungsstück, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Druckklasse 2 DIN 1507, mit Potentialausgleich, für runde Luftleitung, Durchmesser bis 100 mm, mit Anschlussrahmen aus verzinktem Stahl, einschl. Gegenrahmen, Schrauben aus nichtrostendem und Dichtung.",EN Stahl
1.13.36,"50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.35 Elastische Verbindung runde Luftleitg Durchm. 100-250mm STLB-Bau 2023-10 075 3609 Durchmesser über 100 bis 250 mm,","50,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.35 Elastische Verbindung runde Luftleitg Durchm. 100-250mm STLB-Bau 2023-10 075 3609 Durchmesser über 100 bis 250 mm,",
1.13.37,"160,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.35 Elastische Verbindung runde Luftleitg Durchm. 250-500mm STLB-Bau 2023-10 075 3609 Durchmesser über 250 bis 500 mm,","160,000 St *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.35 Elastische Verbindung runde Luftleitg Durchm. 250-500mm STLB-Bau 2023-10 075 3609 Durchmesser über 250 bis 500 mm,",
1.13.38,"140,000 St *** Bezugsbeschreibung Bogen Luftleitg rund 90Grad Stahl verz DN80 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Biegeradius gleich 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 80, glatt, mit mit Lippendichtung, geschraubt/genietet, mit Dichtungsband, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. St","140,000 St *** Bezugsbeschreibung Bogen Luftleitg rund 90Grad Stahl verz DN80 glatt H bis 3,5m STLB-Bau 2023-10 075 3624 Bogen, für Luftleitung, rund, Luftdichtheitsklasse ATC3 DIN EN 16798-3, Biegeradius gleich 1 DN, 90 Grad, Maße DIN EN 1506, aus verzinktem Stahl, DN 80, glatt, mit mit Lippendichtung, geschraubt/genietet, mit Dichtungsband, min./max. Temperatur der geförderten Luft -15 bis 40 Grad C, Druckbereich von -750 bis 2000 Pa, Montagehöhe über Gelände/Fußboden bis 3,5 m, mit Aufhänge-/Auflagekonstruktion DIN EN 12236, schallgedämmt, befestigen mit Befestigungsmitteln mit bauaufsichtlichem Nachweis einschl. Bohrungen, Befestigungsuntergrund Stahlbeton. St","größer Einsteckenden,"
1.13.39,"12,000 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 3,000 St","12,000 *** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H 3,5-5m STLB-Bau 2023-10 075 3624 DN 100, Montagehöhe über Gelände/Fußboden über 3,5 bis 5 m, 3,000 St",
1.13.40,"*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H bis 3,5m","*** Wiederholungsbeschreibung zu Bezugs-OZ 1.13.38 Bogen Luftleitg rund 90Grad Stahl verz DN100 glatt H bis 3,5m",
